period_type,period_start,period_label,reporter_country,reporter_iso,partner_country,partner_iso,flow,commodity_group,analysis_bucket,hs6,hs_description,export_value_usd,export_quantity_ton,export_unit_value_usd_per_ton,tracked_reporter_share_by_value_pct,tracked_reporter_share_by_quantity_pct,rank_by_value_in_partner_market,rank_by_unit_value_in_partner_market,data_quality_flag,unit_value_flag,confidence_score,notes,source_name,source_url,fetched_at
A,2020-01-01,2020,Brazil,BRA,Albania,ALB,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,2941934,1668.525,1763.194438,98.141265,97.750341,1,1,ok,ok,0.82,"Export unit value is calculated as SUM(value_usd) / SUM(quantity_ton). Use as a directional competitor benchmark only; it is not a transaction price, invoice price, FOB contract price, margin, or profit. Reporter share fields are shares within Vietnam, Brazil, and Indonesia only, not global destination-market share.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=76&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T19:13:38.772Z
A,2020-01-01,2020,Indonesia,IDN,Albania,ALB,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,55718.4,38.4,1451,1.858735,2.249659,2,2,ok,low_volume_for_competitor_benchmark,0.55,"Export unit value is calculated as SUM(value_usd) / SUM(quantity_ton). Use as a directional competitor benchmark only; it is not a transaction price, invoice price, FOB contract price, margin, or profit. Reporter share fields are shares within Vietnam, Brazil, and Indonesia only, not global destination-market share. Low-volume destination (< 50 tons); unit value can be unstable.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=360&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T19:13:38.772Z
A,2020-01-01,2020,Brazil,BRA,Algeria,DZA,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,21017393,14258.415,1474.034316,16.972637,17.752088,2,3,ok,ok,0.82,"Export unit value is calculated as SUM(value_usd) / SUM(quantity_ton). Use as a directional competitor benchmark only; it is not a transaction price, invoice price, FOB contract price, margin, or profit. Reporter share fields are shares within Vietnam, Brazil, and Indonesia only, not global destination-market share.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=76&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T19:13:38.772Z
A,2020-01-01,2020,Indonesia,IDN,Algeria,DZA,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,9068521.27,5919.6,1531.948319,7.323302,7.370052,3,2,ok,ok,0.82,"Export unit value is calculated as SUM(value_usd) / SUM(quantity_ton). Use as a directional competitor benchmark only; it is not a transaction price, invoice price, FOB contract price, margin, or profit. Reporter share fields are shares within Vietnam, Brazil, and Indonesia only, not global destination-market share.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=360&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T19:13:38.772Z
A,2020-01-01,2020,Vietnam,VNM,Algeria,DZA,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,93745129.556,60141.636503,1558.739253,75.704061,74.87786,1,1,ok,ok,0.82,"Export unit value is calculated as SUM(value_usd) / SUM(quantity_ton). Use as a directional competitor benchmark only; it is not a transaction price, invoice price, FOB contract price, margin, or profit. Reporter share fields are shares within Vietnam, Brazil, and Indonesia only, not global destination-market share.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T19:13:38.772Z
A,2020-01-01,2020,Brazil,BRA,Antigua and Barbuda,ATG,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,41,0.008,5125,100,100,1,1,ok,low_volume_for_competitor_benchmark,0.55,"Export unit value is calculated as SUM(value_usd) / SUM(quantity_ton). Use as a directional competitor benchmark only; it is not a transaction price, invoice price, FOB contract price, margin, or profit. Reporter share fields are shares within Vietnam, Brazil, and Indonesia only, not global destination-market share. Low-volume destination (< 50 tons); unit value can be unstable.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=76&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T19:13:38.772Z
A,2020-01-01,2020,Brazil,BRA,Argentina,ARG,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,41928343,26775.181,1565.9406,98.776589,98.760902,1,1,ok,ok,0.82,"Export unit value is calculated as SUM(value_usd) / SUM(quantity_ton). Use as a directional competitor benchmark only; it is not a transaction price, invoice price, FOB contract price, margin, or profit. Reporter share fields are shares within Vietnam, Brazil, and Indonesia only, not global destination-market share.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=76&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T19:13:38.772Z
A,2020-01-01,2020,Vietnam,VNM,Argentina,ARG,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,519309.094,335.933141,1545.870385,1.223411,1.239098,2,2,ok,ok,0.82,"Export unit value is calculated as SUM(value_usd) / SUM(quantity_ton). Use as a directional competitor benchmark only; it is not a transaction price, invoice price, FOB contract price, margin, or profit. Reporter share fields are shares within Vietnam, Brazil, and Indonesia only, not global destination-market share.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T19:13:38.772Z
A,2020-01-01,2020,Brazil,BRA,Armenia,ARM,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,51072,38.4,1330,59.775281,66.666667,1,2,ok,low_volume_for_competitor_benchmark,0.55,"Export unit value is calculated as SUM(value_usd) / SUM(quantity_ton). Use as a directional competitor benchmark only; it is not a transaction price, invoice price, FOB contract price, margin, or profit. Reporter share fields are shares within Vietnam, Brazil, and Indonesia only, not global destination-market share. Low-volume destination (< 50 tons); unit value can be unstable.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=76&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T19:13:38.772Z
A,2020-01-01,2020,Indonesia,IDN,Armenia,ARM,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,34368,19.2,1790,40.224719,33.333333,2,1,ok,low_volume_for_competitor_benchmark,0.55,"Export unit value is calculated as SUM(value_usd) / SUM(quantity_ton). Use as a directional competitor benchmark only; it is not a transaction price, invoice price, FOB contract price, margin, or profit. Reporter share fields are shares within Vietnam, Brazil, and Indonesia only, not global destination-market share. Low-volume destination (< 50 tons); unit value can be unstable.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=360&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T19:13:38.772Z
A,2020-01-01,2020,Brazil,BRA,Australia,AUS,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,56452508,22031.086,2562.402416,60.398435,51.265911,1,1,ok,ok,0.82,"Export unit value is calculated as SUM(value_usd) / SUM(quantity_ton). Use as a directional competitor benchmark only; it is not a transaction price, invoice price, FOB contract price, margin, or profit. Reporter share fields are shares within Vietnam, Brazil, and Indonesia only, not global destination-market share.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=76&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T19:13:38.772Z
A,2020-01-01,2020,Indonesia,IDN,Australia,AUS,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,13828292.307,5961.12595,2319.745032,14.794865,13.871425,3,2,ok,ok,0.82,"Export unit value is calculated as SUM(value_usd) / SUM(quantity_ton). Use as a directional competitor benchmark only; it is not a transaction price, invoice price, FOB contract price, margin, or profit. Reporter share fields are shares within Vietnam, Brazil, and Indonesia only, not global destination-market share.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=360&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T19:13:38.772Z
A,2020-01-01,2020,Vietnam,VNM,Australia,AUS,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,23186038.823,14981.931002,1547.60016,24.8067,34.862664,2,3,ok,ok,0.82,"Export unit value is calculated as SUM(value_usd) / SUM(quantity_ton). Use as a directional competitor benchmark only; it is not a transaction price, invoice price, FOB contract price, margin, or profit. Reporter share fields are shares within Vietnam, Brazil, and Indonesia only, not global destination-market share.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T19:13:38.772Z
A,2020-01-01,2020,Brazil,BRA,Austria,AUT,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,393677,134.148,2934.646808,97.844414,99.68789,1,2,ok,ok,0.82,"Export unit value is calculated as SUM(value_usd) / SUM(quantity_ton). Use as a directional competitor benchmark only; it is not a transaction price, invoice price, FOB contract price, margin, or profit. Reporter share fields are shares within Vietnam, Brazil, and Indonesia only, not global destination-market share.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=76&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T19:13:38.772Z
A,2020-01-01,2020,Vietnam,VNM,Austria,AUT,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,8673,0.42,20650,2.155586,0.31211,2,1,ok,low_volume_for_competitor_benchmark,0.55,"Export unit value is calculated as SUM(value_usd) / SUM(quantity_ton). Use as a directional competitor benchmark only; it is not a transaction price, invoice price, FOB contract price, margin, or profit. Reporter share fields are shares within Vietnam, Brazil, and Indonesia only, not global destination-market share. Low-volume destination (< 50 tons); unit value can be unstable.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T19:13:38.772Z
A,2020-01-01,2020,Brazil,BRA,Bahamas,BHS,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,240,0.028,8571.428571,100,100,1,1,ok,low_volume_for_competitor_benchmark,0.55,"Export unit value is calculated as SUM(value_usd) / SUM(quantity_ton). Use as a directional competitor benchmark only; it is not a transaction price, invoice price, FOB contract price, margin, or profit. Reporter share fields are shares within Vietnam, Brazil, and Indonesia only, not global destination-market share. Low-volume destination (< 50 tons); unit value can be unstable.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=76&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T19:13:38.772Z
A,2020-01-01,2020,Brazil,BRA,Bahrain,BHR,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,176401,101.135,1744.21318,100,100,1,1,ok,ok,0.82,"Export unit value is calculated as SUM(value_usd) / SUM(quantity_ton). Use as a directional competitor benchmark only; it is not a transaction price, invoice price, FOB contract price, margin, or profit. Reporter share fields are shares within Vietnam, Brazil, and Indonesia only, not global destination-market share.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=76&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T19:13:38.772Z
A,2020-01-01,2020,Brazil,BRA,Bangladesh,BGD,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,128,0.012,10666.666667,100,100,1,1,ok,low_volume_for_competitor_benchmark,0.55,"Export unit value is calculated as SUM(value_usd) / SUM(quantity_ton). Use as a directional competitor benchmark only; it is not a transaction price, invoice price, FOB contract price, margin, or profit. Reporter share fields are shares within Vietnam, Brazil, and Indonesia only, not global destination-market share. Low-volume destination (< 50 tons); unit value can be unstable.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=76&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T19:13:38.772Z
A,2020-01-01,2020,Brazil,BRA,Belarus,BLR,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,355498,134.4,2645.074405,100,100,1,1,ok,ok,0.82,"Export unit value is calculated as SUM(value_usd) / SUM(quantity_ton). Use as a directional competitor benchmark only; it is not a transaction price, invoice price, FOB contract price, margin, or profit. Reporter share fields are shares within Vietnam, Brazil, and Indonesia only, not global destination-market share.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=76&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T19:13:38.772Z
A,2020-01-01,2020,Brazil,BRA,Belgium,BEL,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,467390701,224546.677052,2081.485717,75.685032,72.783514,1,2,ok,ok,0.82,"Export unit value is calculated as SUM(value_usd) / SUM(quantity_ton). Use as a directional competitor benchmark only; it is not a transaction price, invoice price, FOB contract price, margin, or profit. Reporter share fields are shares within Vietnam, Brazil, and Indonesia only, not global destination-market share.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=76&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T19:13:38.772Z
A,2020-01-01,2020,Indonesia,IDN,Belgium,BEL,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,38292709.03,14758.107,2594.689755,6.200776,4.783624,3,1,ok,ok,0.82,"Export unit value is calculated as SUM(value_usd) / SUM(quantity_ton). Use as a directional competitor benchmark only; it is not a transaction price, invoice price, FOB contract price, margin, or profit. Reporter share fields are shares within Vietnam, Brazil, and Indonesia only, not global destination-market share.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=360&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T19:13:38.772Z
A,2020-01-01,2020,Vietnam,VNM,Belgium,BEL,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,111863668.417,69208.319913,1616.332669,18.114193,22.432862,2,3,ok,ok,0.82,"Export unit value is calculated as SUM(value_usd) / SUM(quantity_ton). Use as a directional competitor benchmark only; it is not a transaction price, invoice price, FOB contract price, margin, or profit. Reporter share fields are shares within Vietnam, Brazil, and Indonesia only, not global destination-market share.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T19:13:38.772Z
A,2020-01-01,2020,Brazil,BRA,Belize,BLZ,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,82966,38.4,2160.572917,100,100,1,1,ok,low_volume_for_competitor_benchmark,0.55,"Export unit value is calculated as SUM(value_usd) / SUM(quantity_ton). Use as a directional competitor benchmark only; it is not a transaction price, invoice price, FOB contract price, margin, or profit. Reporter share fields are shares within Vietnam, Brazil, and Indonesia only, not global destination-market share. Low-volume destination (< 50 tons); unit value can be unstable.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=76&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T19:13:38.772Z
A,2020-01-01,2020,Brazil,BRA,Bolivia (Plurinational State of),BOL,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,176,0.22,800,100,100,1,1,ok,low_volume_for_competitor_benchmark,0.55,"Export unit value is calculated as SUM(value_usd) / SUM(quantity_ton). Use as a directional competitor benchmark only; it is not a transaction price, invoice price, FOB contract price, margin, or profit. Reporter share fields are shares within Vietnam, Brazil, and Indonesia only, not global destination-market share. Low-volume destination (< 50 tons); unit value can be unstable.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=76&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T19:13:38.772Z
A,2020-01-01,2020,Brazil,BRA,Bosnia Herzegovina,BIH,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,7,0.002,3500,100,100,1,1,ok,low_volume_for_competitor_benchmark,0.55,"Export unit value is calculated as SUM(value_usd) / SUM(quantity_ton). Use as a directional competitor benchmark only; it is not a transaction price, invoice price, FOB contract price, margin, or profit. Reporter share fields are shares within Vietnam, Brazil, and Indonesia only, not global destination-market share. Low-volume destination (< 50 tons); unit value can be unstable.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=76&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T19:13:38.772Z
A,2020-01-01,2020,Vietnam,VNM,Brazil,BRA,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,29800,19.078457,1561.97118,100,100,1,1,ok,low_volume_for_competitor_benchmark,0.55,"Export unit value is calculated as SUM(value_usd) / SUM(quantity_ton). Use as a directional competitor benchmark only; it is not a transaction price, invoice price, FOB contract price, margin, or profit. Reporter share fields are shares within Vietnam, Brazil, and Indonesia only, not global destination-market share. Low-volume destination (< 50 tons); unit value can be unstable.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T19:13:38.772Z
A,2020-01-01,2020,Vietnam,VNM,Brunei Darussalam,BRN,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,2820,0.59513,4738.460504,100,100,1,1,ok,low_volume_for_competitor_benchmark,0.55,"Export unit value is calculated as SUM(value_usd) / SUM(quantity_ton). Use as a directional competitor benchmark only; it is not a transaction price, invoice price, FOB contract price, margin, or profit. Reporter share fields are shares within Vietnam, Brazil, and Indonesia only, not global destination-market share. Low-volume destination (< 50 tons); unit value can be unstable.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T19:13:38.772Z
A,2020-01-01,2020,Brazil,BRA,Bulgaria,BGR,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,1192390,494.58,2410.914311,26.283339,19.160738,3,1,ok,ok,0.82,"Export unit value is calculated as SUM(value_usd) / SUM(quantity_ton). Use as a directional competitor benchmark only; it is not a transaction price, invoice price, FOB contract price, margin, or profit. Reporter share fields are shares within Vietnam, Brazil, and Indonesia only, not global destination-market share.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=76&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T19:13:38.772Z
A,2020-01-01,2020,Indonesia,IDN,Bulgaria,BGR,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,1529224.6,919.2,1663.647302,33.708039,35.611125,2,2,ok,ok,0.82,"Export unit value is calculated as SUM(value_usd) / SUM(quantity_ton). Use as a directional competitor benchmark only; it is not a transaction price, invoice price, FOB contract price, margin, or profit. Reporter share fields are shares within Vietnam, Brazil, and Indonesia only, not global destination-market share.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=360&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T19:13:38.772Z
A,2020-01-01,2020,Vietnam,VNM,Bulgaria,BGR,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,1815061.709,1167.435815,1554.742184,40.008623,45.228137,1,3,ok,ok,0.82,"Export unit value is calculated as SUM(value_usd) / SUM(quantity_ton). Use as a directional competitor benchmark only; it is not a transaction price, invoice price, FOB contract price, margin, or profit. Reporter share fields are shares within Vietnam, Brazil, and Indonesia only, not global destination-market share.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T19:13:38.772Z
A,2020-01-01,2020,Brazil,BRA,Cabo Verde,CPV,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,459660,305.6,1504.123037,100,100,1,1,ok,ok,0.82,"Export unit value is calculated as SUM(value_usd) / SUM(quantity_ton). Use as a directional competitor benchmark only; it is not a transaction price, invoice price, FOB contract price, margin, or profit. Reporter share fields are shares within Vietnam, Brazil, and Indonesia only, not global destination-market share.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=76&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T19:13:38.772Z
A,2020-01-01,2020,Indonesia,IDN,Cambodia,KHM,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,75657.64,14,5404.117143,9.875647,3.504954,2,1,ok,low_volume_for_competitor_benchmark,0.55,"Export unit value is calculated as SUM(value_usd) / SUM(quantity_ton). Use as a directional competitor benchmark only; it is not a transaction price, invoice price, FOB contract price, margin, or profit. Reporter share fields are shares within Vietnam, Brazil, and Indonesia only, not global destination-market share. Low-volume destination (< 50 tons); unit value can be unstable.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=360&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T19:13:38.772Z
A,2020-01-01,2020,Vietnam,VNM,Cambodia,KHM,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,690445.473,385.434612,1791.342686,90.124353,96.495046,1,2,ok,ok,0.82,"Export unit value is calculated as SUM(value_usd) / SUM(quantity_ton). Use as a directional competitor benchmark only; it is not a transaction price, invoice price, FOB contract price, margin, or profit. Reporter share fields are shares within Vietnam, Brazil, and Indonesia only, not global destination-market share.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T19:13:38.772Z
A,2020-01-01,2020,Brazil,BRA,Canada,CAN,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,102696789,44199.924,2323.46076,77.782512,81.837366,1,2,ok,ok,0.82,"Export unit value is calculated as SUM(value_usd) / SUM(quantity_ton). Use as a directional competitor benchmark only; it is not a transaction price, invoice price, FOB contract price, margin, or profit. Reporter share fields are shares within Vietnam, Brazil, and Indonesia only, not global destination-market share.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=76&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T19:13:38.772Z
A,2020-01-01,2020,Indonesia,IDN,Canada,CAN,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,19493350.62,3917.4205,4976.067956,14.764257,7.253211,2,1,ok,ok,0.82,"Export unit value is calculated as SUM(value_usd) / SUM(quantity_ton). Use as a directional competitor benchmark only; it is not a transaction price, invoice price, FOB contract price, margin, or profit. Reporter share fields are shares within Vietnam, Brazil, and Indonesia only, not global destination-market share.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=360&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T19:13:38.772Z
A,2020-01-01,2020,Vietnam,VNM,Canada,CAN,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,9840552.51,5892.12091,1670.1206,7.453231,10.909423,3,3,ok,ok,0.82,"Export unit value is calculated as SUM(value_usd) / SUM(quantity_ton). Use as a directional competitor benchmark only; it is not a transaction price, invoice price, FOB contract price, margin, or profit. Reporter share fields are shares within Vietnam, Brazil, and Indonesia only, not global destination-market share.",UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T19:13:38.772Z
