price_date,commodity_group,commodity_slug,location_name,province,province_code,district,price_type,price_vnd_per_kg,price_vnd_per_ton,fx_source_name,fx_rate_type,fx_rate_date,usd_vnd_rate,domestic_price_usd_per_ton,source_name,source_url,fetched_at,data_quality_flag,confidence_score,notes
2026-05-30,coffee,ca-phe-robusta,Đắk Lắk,Dak Lak,DLK,,domestic_farmgate_or_local,89100,89100000,Vietcombank,transfer_buy,2026-05-30,26115,3411.83228,congthuong,https://congthuong.vn/gia-ca-phe-hom-nay-29-5-2026-bat-tang-tien-gan-moc-90-000-dong-kg-458769.html,2026-05-29T19:58:30.195Z,ok,0.75,"Domestic coffee price converted from VND/kg to USD/ton using selected USD/VND rate. This is not FOB, CIF, transaction price, margin, or profit."
2026-05-30,coffee,ca-phe-robusta,Lâm Đồng,Lam Dong,LDO,,domestic_farmgate_or_local,88600,88600000,Vietcombank,transfer_buy,2026-05-30,26115,3392.686196,congthuong,https://congthuong.vn/gia-ca-phe-hom-nay-29-5-2026-bat-tang-tien-gan-moc-90-000-dong-kg-458769.html,2026-05-29T19:58:30.195Z,ok,0.75,"Domestic coffee price converted from VND/kg to USD/ton using selected USD/VND rate. This is not FOB, CIF, transaction price, margin, or profit."
2026-05-30,coffee,ca-phe-robusta,Đắk Lắk,Dak Lak,DLK,,domestic_farmgate_or_local,88500,88500000,Vietcombank,transfer_buy,2026-05-30,26115,3388.856979,nongnghiep,https://nongnghiepmoitruong.vn/gia-ca-phe-hom-nay-28-5-2026-trong-nuoc-dieu-chinh-tang-d813579.html,2026-05-29T19:58:30.195Z,ok,0.75,"Domestic coffee price converted from VND/kg to USD/ton using selected USD/VND rate. This is not FOB, CIF, transaction price, margin, or profit."
2026-05-30,coffee,ca-phe-robusta,Dak Nong (lam Dong Moi),Dak Nong,DNO,,domestic_farmgate_or_local,88600,88600000,Vietcombank,transfer_buy,2026-05-30,26115,3392.686196,nongnghiep,https://nongnghiepmoitruong.vn/gia-ca-phe-hom-nay-28-5-2026-trong-nuoc-dieu-chinh-tang-d813579.html,2026-05-29T19:58:30.195Z,ok,0.75,"Domestic coffee price converted from VND/kg to USD/ton using selected USD/VND rate. This is not FOB, CIF, transaction price, margin, or profit."
2026-05-30,coffee,ca-phe-robusta,Gia Lai,Gia Lai,GLA,,domestic_farmgate_or_local,88500,88500000,Vietcombank,transfer_buy,2026-05-30,26115,3388.856979,nongnghiep,https://nongnghiepmoitruong.vn/gia-ca-phe-hom-nay-28-5-2026-trong-nuoc-dieu-chinh-tang-d813579.html,2026-05-29T19:58:30.195Z,ok,0.75,"Domestic coffee price converted from VND/kg to USD/ton using selected USD/VND rate. This is not FOB, CIF, transaction price, margin, or profit."
2026-05-30,coffee,ca-phe-robusta,Lâm Đồng,Lam Dong,LDO,,domestic_farmgate_or_local,88000,88000000,Vietcombank,transfer_buy,2026-05-30,26115,3369.710894,nongnghiep,https://nongnghiepmoitruong.vn/gia-ca-phe-hom-nay-28-5-2026-trong-nuoc-dieu-chinh-tang-d813579.html,2026-05-29T19:58:30.195Z,ok,0.75,"Domestic coffee price converted from VND/kg to USD/ton using selected USD/VND rate. This is not FOB, CIF, transaction price, margin, or profit."
2026-05-30,coffee,ca-phe-robusta,Đắk Lắk,Dak Lak,DLK,,domestic_farmgate_or_local,89100,89100000,Vietcombank,transfer_buy,2026-05-30,26115,3411.83228,vietnambiz,https://vietnambiz.vn/gia-ca-phe-hom-nay-295-hai-san-tang-manh-trong-nuoc-tien-gan-moc-90000-dongkg-20265297042382.htm,2026-05-29T19:58:30.195Z,ok,0.74,"Domestic coffee price converted from VND/kg to USD/ton using selected USD/VND rate. This is not FOB, CIF, transaction price, margin, or profit."
2026-05-30,coffee,ca-phe-robusta,Đắk Nông,Dak Nong,DNO,,domestic_farmgate_or_local,89200,89200000,Vietcombank,transfer_buy,2026-05-30,26115,3415.661497,vietnambiz,https://vietnambiz.vn/gia-ca-phe-hom-nay-295-hai-san-tang-manh-trong-nuoc-tien-gan-moc-90000-dongkg-20265297042382.htm,2026-05-29T19:58:30.195Z,ok,0.74,"Domestic coffee price converted from VND/kg to USD/ton using selected USD/VND rate. This is not FOB, CIF, transaction price, margin, or profit."
2026-05-30,coffee,ca-phe-robusta,Gia Lai,Gia Lai,GLA,,domestic_farmgate_or_local,89100,89100000,Vietcombank,transfer_buy,2026-05-30,26115,3411.83228,vietnambiz,https://vietnambiz.vn/gia-ca-phe-hom-nay-295-hai-san-tang-manh-trong-nuoc-tien-gan-moc-90000-dongkg-20265297042382.htm,2026-05-29T19:58:30.195Z,ok,0.74,"Domestic coffee price converted from VND/kg to USD/ton using selected USD/VND rate. This is not FOB, CIF, transaction price, margin, or profit."
2026-05-30,coffee,ca-phe-robusta,Lâm Đồng,Lam Dong,LDO,,domestic_farmgate_or_local,88600,88600000,Vietcombank,transfer_buy,2026-05-30,26115,3392.686196,vietnambiz,https://vietnambiz.vn/gia-ca-phe-hom-nay-295-hai-san-tang-manh-trong-nuoc-tien-gan-moc-90000-dongkg-20265297042382.htm,2026-05-29T19:58:30.195Z,ok,0.74,"Domestic coffee price converted from VND/kg to USD/ton using selected USD/VND rate. This is not FOB, CIF, transaction price, margin, or profit."
2026-05-30,coffee,ca-phe-robusta,Đắk Lắk,Dak Lak,DLK,,domestic_farmgate_or_local,87700,87700000,Vietcombank,transfer_buy,2026-05-30,26115,3358.223243,banggianongsan,https://banggianongsan.com/bang-gia-ca-phe/,2026-05-29T19:58:30.195Z,ok,0.73,"Domestic coffee price converted from VND/kg to USD/ton using selected USD/VND rate. This is not FOB, CIF, transaction price, margin, or profit."
2026-05-30,coffee,ca-phe-robusta,Đắk Nông,Dak Nong,DNO,,domestic_farmgate_or_local,87800,87800000,Vietcombank,transfer_buy,2026-05-30,26115,3362.05246,banggianongsan,https://banggianongsan.com/bang-gia-ca-phe/,2026-05-29T19:58:30.195Z,ok,0.73,"Domestic coffee price converted from VND/kg to USD/ton using selected USD/VND rate. This is not FOB, CIF, transaction price, margin, or profit."
2026-05-30,coffee,ca-phe-robusta,Gia Lai,Gia Lai,GLA,,domestic_farmgate_or_local,87700,87700000,Vietcombank,transfer_buy,2026-05-30,26115,3358.223243,banggianongsan,https://banggianongsan.com/bang-gia-ca-phe/,2026-05-29T19:58:30.195Z,ok,0.73,"Domestic coffee price converted from VND/kg to USD/ton using selected USD/VND rate. This is not FOB, CIF, transaction price, margin, or profit."
2026-05-30,coffee,ca-phe-robusta,Lâm Đồng,Lam Dong,LDO,,domestic_farmgate_or_local,87200,87200000,Vietcombank,transfer_buy,2026-05-30,26115,3339.077159,banggianongsan,https://banggianongsan.com/bang-gia-ca-phe/,2026-05-29T19:58:30.195Z,ok,0.73,"Domestic coffee price converted from VND/kg to USD/ton using selected USD/VND rate. This is not FOB, CIF, transaction price, margin, or profit."
