period_type,period_start,period_label,importer_country,importer_iso,origin_country,origin_iso,flow,commodity_group,analysis_bucket,hs6,hs_description,import_value_usd,import_quantity_raw,import_quantity_unit_raw,import_net_weight_kg,import_quantity_ton,import_unit_value_usd_per_ton,source_name,source_url,fetched_at,data_quality_flag,unit_value_flag,confidence_score,notes
A,2023-01-01,2023,Belgium,BEL,Vietnam,VNM,Import,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,75259510.018,28560118.98,kg,28560118.98,28560.11898,2635.125928,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=56&partnerCode=704&flowCode=M&cmdCode=090111&period=2023&includeDesc=true,2026-06-01T14:36:45.739Z,ok,ok,0.82,"Mirror import unit value is calculated as SUM(import_value_usd) / SUM(import_quantity_ton). Import data is importer-reported and can naturally differ from exporter-reported data due to CIF/FOB scope, freight, insurance, timing, revisions, and classification differences. Mirror gap is a benchmark signal only; it is not transaction price, confirmed premium, margin, or profit."
A,2023-01-01,2023,France,FRA,Vietnam,VNM,Import,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,347721741.004,134316342.459,kg,134316342.459,134316.342459,2588.826755,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=251&partnerCode=704&flowCode=M&cmdCode=090111&period=2023&includeDesc=true,2026-06-01T14:36:45.739Z,ok,ok,0.82,"Mirror import unit value is calculated as SUM(import_value_usd) / SUM(import_quantity_ton). Import data is importer-reported and can naturally differ from exporter-reported data due to CIF/FOB scope, freight, insurance, timing, revisions, and classification differences. Mirror gap is a benchmark signal only; it is not transaction price, confirmed premium, margin, or profit."
A,2023-01-01,2023,Germany,DEU,Vietnam,VNM,Import,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,3648755031.917999,1587221930.299999,kg,1587221930.299999,1587221.9303,2298.831034,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=276&partnerCode=704&flowCode=M&cmdCode=090111&period=2023&includeDesc=true,2026-06-01T14:36:45.739Z,ok,ok,0.82,"Mirror import unit value is calculated as SUM(import_value_usd) / SUM(import_quantity_ton). Import data is importer-reported and can naturally differ from exporter-reported data due to CIF/FOB scope, freight, insurance, timing, revisions, and classification differences. Mirror gap is a benchmark signal only; it is not transaction price, confirmed premium, margin, or profit."
A,2023-01-01,2023,Italy,ITA,Vietnam,VNM,Import,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,371128793.628,149363483,kg,149363483,149363.483,2484.735801,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=380&partnerCode=704&flowCode=M&cmdCode=090111&period=2023&includeDesc=true,2026-06-01T14:36:45.739Z,ok,ok,0.82,"Mirror import unit value is calculated as SUM(import_value_usd) / SUM(import_quantity_ton). Import data is importer-reported and can naturally differ from exporter-reported data due to CIF/FOB scope, freight, insurance, timing, revisions, and classification differences. Mirror gap is a benchmark signal only; it is not transaction price, confirmed premium, margin, or profit."
A,2023-01-01,2023,Japan,JPN,Vietnam,VNM,Import,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,239270767.718,98725900,kg,98725900,98725.9,2423.586594,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=392&partnerCode=704&flowCode=M&cmdCode=090111&period=2023&includeDesc=true,2026-06-01T14:36:45.739Z,ok,ok,0.82,"Mirror import unit value is calculated as SUM(import_value_usd) / SUM(import_quantity_ton). Import data is importer-reported and can naturally differ from exporter-reported data due to CIF/FOB scope, freight, insurance, timing, revisions, and classification differences. Mirror gap is a benchmark signal only; it is not transaction price, confirmed premium, margin, or profit."
A,2023-01-01,2023,Netherlands,NLD,Vietnam,VNM,Import,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,84134869.396,31136200,kg,31136200,31136.2,2702.155992,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=528&partnerCode=704&flowCode=M&cmdCode=090111&period=2023&includeDesc=true,2026-06-01T14:36:45.739Z,ok,ok,0.82,"Mirror import unit value is calculated as SUM(import_value_usd) / SUM(import_quantity_ton). Import data is importer-reported and can naturally differ from exporter-reported data due to CIF/FOB scope, freight, insurance, timing, revisions, and classification differences. Mirror gap is a benchmark signal only; it is not transaction price, confirmed premium, margin, or profit."
A,2023-01-01,2023,Rep. of Korea,KOR,Vietnam,VNM,Import,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,74856871,31402220,kg,31402220,31402.22,2383.808247,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=410&partnerCode=704&flowCode=M&cmdCode=090111&period=2023&includeDesc=true,2026-06-01T14:36:45.739Z,ok,ok,0.82,"Mirror import unit value is calculated as SUM(import_value_usd) / SUM(import_quantity_ton). Import data is importer-reported and can naturally differ from exporter-reported data due to CIF/FOB scope, freight, insurance, timing, revisions, and classification differences. Mirror gap is a benchmark signal only; it is not transaction price, confirmed premium, margin, or profit."
A,2023-01-01,2023,Spain,ESP,Vietnam,VNM,Import,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,2159439509.117,850433551.44,kg,850433551.44,850433.55144,2539.221913,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=724&partnerCode=704&flowCode=M&cmdCode=090111&period=2023&includeDesc=true,2026-06-01T14:36:45.739Z,ok,ok,0.82,"Mirror import unit value is calculated as SUM(import_value_usd) / SUM(import_quantity_ton). Import data is importer-reported and can naturally differ from exporter-reported data due to CIF/FOB scope, freight, insurance, timing, revisions, and classification differences. Mirror gap is a benchmark signal only; it is not transaction price, confirmed premium, margin, or profit."
A,2023-01-01,2023,United Kingdom,GBR,Vietnam,VNM,Import,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,359869261.151,143629328,kg,143629328,143629.328,2505.541634,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=826&partnerCode=704&flowCode=M&cmdCode=090111&period=2023&includeDesc=true,2026-06-01T14:36:45.739Z,ok,ok,0.82,"Mirror import unit value is calculated as SUM(import_value_usd) / SUM(import_quantity_ton). Import data is importer-reported and can naturally differ from exporter-reported data due to CIF/FOB scope, freight, insurance, timing, revisions, and classification differences. Mirror gap is a benchmark signal only; it is not transaction price, confirmed premium, margin, or profit."
A,2023-01-01,2023,USA,USA,Vietnam,VNM,Import,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,339205217,136134286,kg,136134286,136134.286,2491.695714,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=842&partnerCode=704&flowCode=M&cmdCode=090111&period=2023&includeDesc=true,2026-06-01T14:36:45.739Z,ok,ok,0.82,"Mirror import unit value is calculated as SUM(import_value_usd) / SUM(import_quantity_ton). Import data is importer-reported and can naturally differ from exporter-reported data due to CIF/FOB scope, freight, insurance, timing, revisions, and classification differences. Mirror gap is a benchmark signal only; it is not transaction price, confirmed premium, margin, or profit."
