period_type,period_start,period_label,importer_country,importer_iso,origin_country,origin_iso,flow,commodity_group,analysis_bucket,hs6,hs_description,import_value_usd,import_quantity_raw,import_quantity_unit_raw,import_net_weight_kg,import_quantity_ton,import_unit_value_usd_per_ton,source_name,source_url,fetched_at,data_quality_flag,unit_value_flag,confidence_score,notes
A,2025-01-01,2025,Australia,AUS,Vietnam,VNM,Import,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,136717366.61,24021711.974,kg,24021711.974,24021.711974,5691.408121,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=36&partnerCode=704&flowCode=M&cmdCode=090111&period=2025&includeDesc=true,2026-06-03T18:01:25.426Z,ok,ok,0.82,"Mirror import unit value is calculated as SUM(import_value_usd) / SUM(import_quantity_ton). Import data is importer-reported and can naturally differ from exporter-reported data due to CIF/FOB scope, freight, insurance, timing, revisions, and classification differences. Mirror gap is a benchmark signal only; it is not transaction price, confirmed premium, margin, or profit."
A,2025-01-01,2025,Belgium,BEL,Vietnam,VNM,Import,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,76247202.378,13463876.18,kg,13463876.18,13463.87618,5663.094443,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=56&partnerCode=704&flowCode=M&cmdCode=090111&period=2025&includeDesc=true,2026-06-03T18:01:25.426Z,ok,ok,0.82,"Mirror import unit value is calculated as SUM(import_value_usd) / SUM(import_quantity_ton). Import data is importer-reported and can naturally differ from exporter-reported data due to CIF/FOB scope, freight, insurance, timing, revisions, and classification differences. Mirror gap is a benchmark signal only; it is not transaction price, confirmed premium, margin, or profit."
A,2025-01-01,2025,Germany,DEU,Vietnam,VNM,Import,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,9103255467.536028,1739392747.016,kg,1739392747.016,1739392.747016,5233.582515,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=276&partnerCode=704&flowCode=M&cmdCode=090111&period=2025&includeDesc=true,2026-06-03T18:01:25.426Z,ok,ok,0.82,"Mirror import unit value is calculated as SUM(import_value_usd) / SUM(import_quantity_ton). Import data is importer-reported and can naturally differ from exporter-reported data due to CIF/FOB scope, freight, insurance, timing, revisions, and classification differences. Mirror gap is a benchmark signal only; it is not transaction price, confirmed premium, margin, or profit."
A,2025-01-01,2025,Italy,ITA,Vietnam,VNM,Import,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,687282277.752,120960408,kg,120960408,120960.408,5681.877972,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=380&partnerCode=704&flowCode=M&cmdCode=090111&period=2025&includeDesc=true,2026-06-03T18:01:25.426Z,ok,ok,0.82,"Mirror import unit value is calculated as SUM(import_value_usd) / SUM(import_quantity_ton). Import data is importer-reported and can naturally differ from exporter-reported data due to CIF/FOB scope, freight, insurance, timing, revisions, and classification differences. Mirror gap is a benchmark signal only; it is not transaction price, confirmed premium, margin, or profit."
A,2025-01-01,2025,Japan,JPN,Vietnam,VNM,Import,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,481374272.175,88149970,kg,88149970,88149.97,5460.855769,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=392&partnerCode=704&flowCode=M&cmdCode=090111&period=2025&includeDesc=true,2026-06-03T18:01:25.426Z,ok,ok,0.82,"Mirror import unit value is calculated as SUM(import_value_usd) / SUM(import_quantity_ton). Import data is importer-reported and can naturally differ from exporter-reported data due to CIF/FOB scope, freight, insurance, timing, revisions, and classification differences. Mirror gap is a benchmark signal only; it is not transaction price, confirmed premium, margin, or profit."
A,2025-01-01,2025,Malaysia,MYS,Vietnam,VNM,Import,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,355843336.844,67060614,kg,67060614,67060.614,5306.294047,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=458&partnerCode=704&flowCode=M&cmdCode=090111&period=2025&includeDesc=true,2026-06-03T18:01:25.426Z,ok,ok,0.82,"Mirror import unit value is calculated as SUM(import_value_usd) / SUM(import_quantity_ton). Import data is importer-reported and can naturally differ from exporter-reported data due to CIF/FOB scope, freight, insurance, timing, revisions, and classification differences. Mirror gap is a benchmark signal only; it is not transaction price, confirmed premium, margin, or profit."
A,2025-01-01,2025,Netherlands,NLD,Vietnam,VNM,Import,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,183289029.669,31851120,kg,31851120,31851.12,5754.555245,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=528&partnerCode=704&flowCode=M&cmdCode=090111&period=2025&includeDesc=true,2026-06-03T18:01:25.426Z,ok,ok,0.82,"Mirror import unit value is calculated as SUM(import_value_usd) / SUM(import_quantity_ton). Import data is importer-reported and can naturally differ from exporter-reported data due to CIF/FOB scope, freight, insurance, timing, revisions, and classification differences. Mirror gap is a benchmark signal only; it is not transaction price, confirmed premium, margin, or profit."
A,2025-01-01,2025,Rep. of Korea,KOR,Vietnam,VNM,Import,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,145513937,27188789.685,kg,27188789.685,27188.789685,5351.982883,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=410&partnerCode=704&flowCode=M&cmdCode=090111&period=2025&includeDesc=true,2026-06-03T18:01:25.426Z,ok,ok,0.82,"Mirror import unit value is calculated as SUM(import_value_usd) / SUM(import_quantity_ton). Import data is importer-reported and can naturally differ from exporter-reported data due to CIF/FOB scope, freight, insurance, timing, revisions, and classification differences. Mirror gap is a benchmark signal only; it is not transaction price, confirmed premium, margin, or profit."
A,2025-01-01,2025,Spain,ESP,Vietnam,VNM,Import,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,4500777970.015998,793097517.056,kg,793097517.056,793097.517056,5674.936402,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=724&partnerCode=704&flowCode=M&cmdCode=090111&period=2025&includeDesc=true,2026-06-03T18:01:25.426Z,ok,ok,0.82,"Mirror import unit value is calculated as SUM(import_value_usd) / SUM(import_quantity_ton). Import data is importer-reported and can naturally differ from exporter-reported data due to CIF/FOB scope, freight, insurance, timing, revisions, and classification differences. Mirror gap is a benchmark signal only; it is not transaction price, confirmed premium, margin, or profit."
A,2025-01-01,2025,Switzerland,CHE,Vietnam,VNM,Import,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,450276005.66,84974156,kg,84974156,84974.156,5298.975911,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=757&partnerCode=704&flowCode=M&cmdCode=090111&period=2025&includeDesc=true,2026-06-03T18:01:25.426Z,ok,ok,0.82,"Mirror import unit value is calculated as SUM(import_value_usd) / SUM(import_quantity_ton). Import data is importer-reported and can naturally differ from exporter-reported data due to CIF/FOB scope, freight, insurance, timing, revisions, and classification differences. Mirror gap is a benchmark signal only; it is not transaction price, confirmed premium, margin, or profit."
