period_type,period_start,period_label,importer_country,importer_iso,origin_country,origin_iso,flow,commodity_group,analysis_bucket,hs6,hs_description,import_value_usd,import_quantity_raw,import_quantity_unit_raw,import_net_weight_kg,import_quantity_ton,import_unit_value_usd_per_ton,source_name,source_url,fetched_at,data_quality_flag,unit_value_flag,confidence_score,notes
M,2026-03-01,202603,Germany,DEU,Vietnam,VNM,Import,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,1220847285.897999,285977021.024,kg,285977021.024,285977.021024,4269.039804,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/M/HS?reporterCode=276&partnerCode=704&flowCode=M&cmdCode=090111&period=202603&includeDesc=true,2026-06-03T18:03:05.842Z,ok,ok,0.82,"Mirror import unit value is calculated as SUM(import_value_usd) / SUM(import_quantity_ton). Import data is importer-reported and can naturally differ from exporter-reported data due to CIF/FOB scope, freight, insurance, timing, revisions, and classification differences. Mirror gap is a benchmark signal only; it is not transaction price, confirmed premium, margin, or profit."
M,2026-03-01,202603,Japan,JPN,Vietnam,VNM,Import,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,29616952.371,6453080,kg,6453080,6453.08,4589.583946,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/M/HS?reporterCode=392&partnerCode=704&flowCode=M&cmdCode=090111&period=202603&includeDesc=true,2026-06-03T18:03:05.842Z,ok,ok,0.82,"Mirror import unit value is calculated as SUM(import_value_usd) / SUM(import_quantity_ton). Import data is importer-reported and can naturally differ from exporter-reported data due to CIF/FOB scope, freight, insurance, timing, revisions, and classification differences. Mirror gap is a benchmark signal only; it is not transaction price, confirmed premium, margin, or profit."
M,2026-03-01,202603,USA,USA,Vietnam,VNM,Import,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,76796512,16781375,kg,16781375,16781.375,4576.294374,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/M/HS?reporterCode=842&partnerCode=704&flowCode=M&cmdCode=090111&period=202603&includeDesc=true,2026-06-03T18:03:05.842Z,ok,ok,0.82,"Mirror import unit value is calculated as SUM(import_value_usd) / SUM(import_quantity_ton). Import data is importer-reported and can naturally differ from exporter-reported data due to CIF/FOB scope, freight, insurance, timing, revisions, and classification differences. Mirror gap is a benchmark signal only; it is not transaction price, confirmed premium, margin, or profit."
M,2026-02-01,202602,Belgium,BEL,Vietnam,VNM,Import,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,6496227.999,1322144.31,kg,1322144.31,1322.14431,4913.403136,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/M/HS?reporterCode=56&partnerCode=704&flowCode=M&cmdCode=090111&period=202602&includeDesc=true,2026-06-03T18:03:05.842Z,ok,ok,0.82,"Mirror import unit value is calculated as SUM(import_value_usd) / SUM(import_quantity_ton). Import data is importer-reported and can naturally differ from exporter-reported data due to CIF/FOB scope, freight, insurance, timing, revisions, and classification differences. Mirror gap is a benchmark signal only; it is not transaction price, confirmed premium, margin, or profit."
M,2026-02-01,202602,Germany,DEU,Vietnam,VNM,Import,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,1332443176.789,262927860.656,kg,262927860.656,262927.860656,5067.71391,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/M/HS?reporterCode=276&partnerCode=704&flowCode=M&cmdCode=090111&period=202602&includeDesc=true,2026-06-03T18:03:05.842Z,ok,ok,0.82,"Mirror import unit value is calculated as SUM(import_value_usd) / SUM(import_quantity_ton). Import data is importer-reported and can naturally differ from exporter-reported data due to CIF/FOB scope, freight, insurance, timing, revisions, and classification differences. Mirror gap is a benchmark signal only; it is not transaction price, confirmed premium, margin, or profit."
M,2026-02-01,202602,Japan,JPN,Vietnam,VNM,Import,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,47042744.614,10137683,kg,10137683,10137.683,4640.384259,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/M/HS?reporterCode=392&partnerCode=704&flowCode=M&cmdCode=090111&period=202602&includeDesc=true,2026-06-03T18:03:05.842Z,ok,ok,0.82,"Mirror import unit value is calculated as SUM(import_value_usd) / SUM(import_quantity_ton). Import data is importer-reported and can naturally differ from exporter-reported data due to CIF/FOB scope, freight, insurance, timing, revisions, and classification differences. Mirror gap is a benchmark signal only; it is not transaction price, confirmed premium, margin, or profit."
M,2026-02-01,202602,Netherlands,NLD,Vietnam,VNM,Import,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,19278322.623,3528648,kg,3528648,3528.648,5463.373684,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/M/HS?reporterCode=528&partnerCode=704&flowCode=M&cmdCode=090111&period=202602&includeDesc=true,2026-06-03T18:03:05.842Z,ok,ok,0.82,"Mirror import unit value is calculated as SUM(import_value_usd) / SUM(import_quantity_ton). Import data is importer-reported and can naturally differ from exporter-reported data due to CIF/FOB scope, freight, insurance, timing, revisions, and classification differences. Mirror gap is a benchmark signal only; it is not transaction price, confirmed premium, margin, or profit."
M,2026-02-01,202602,Spain,ESP,Vietnam,VNM,Import,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,295958593.28,60107579.2,kg,60107579.2,60107.5792,4923.814887,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/M/HS?reporterCode=724&partnerCode=704&flowCode=M&cmdCode=090111&period=202602&includeDesc=true,2026-06-03T18:03:05.842Z,ok,ok,0.82,"Mirror import unit value is calculated as SUM(import_value_usd) / SUM(import_quantity_ton). Import data is importer-reported and can naturally differ from exporter-reported data due to CIF/FOB scope, freight, insurance, timing, revisions, and classification differences. Mirror gap is a benchmark signal only; it is not transaction price, confirmed premium, margin, or profit."
M,2026-02-01,202602,USA,USA,Vietnam,VNM,Import,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,52151489,10743010,kg,10743010,10743.01,4854.457829,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/M/HS?reporterCode=842&partnerCode=704&flowCode=M&cmdCode=090111&period=202602&includeDesc=true,2026-06-03T18:03:05.842Z,ok,ok,0.82,"Mirror import unit value is calculated as SUM(import_value_usd) / SUM(import_quantity_ton). Import data is importer-reported and can naturally differ from exporter-reported data due to CIF/FOB scope, freight, insurance, timing, revisions, and classification differences. Mirror gap is a benchmark signal only; it is not transaction price, confirmed premium, margin, or profit."
M,2026-01-01,202601,Belgium,BEL,Vietnam,VNM,Import,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,5720966.003,1094347.63,kg,1094347.63,1094.34763,5227.741027,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/M/HS?reporterCode=56&partnerCode=704&flowCode=M&cmdCode=090111&period=202601&includeDesc=true,2026-06-03T18:03:05.842Z,ok,ok,0.82,"Mirror import unit value is calculated as SUM(import_value_usd) / SUM(import_quantity_ton). Import data is importer-reported and can naturally differ from exporter-reported data due to CIF/FOB scope, freight, insurance, timing, revisions, and classification differences. Mirror gap is a benchmark signal only; it is not transaction price, confirmed premium, margin, or profit."
