period_type,period_start,period_label,reporter_country,reporter_iso,partner_country,partner_iso,flow,commodity_group,analysis_bucket,hs6,hs_description,quantity_raw,quantity_unit_raw,net_weight_kg,quantity_ton,value_usd,source_name,source_url,fetched_at,data_quality_flag,confidence_score,notes
A,2020-01-01,2020,Vietnam,VNM,World,W00,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,1208070971.77,kg,1208070971.77,1208070.97177,1886972064.043,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111%2C090112%2C090121%2C090122%2C090190%2C210111%2C210112&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-06-03T15:38:59.579Z,aggregate_partner_excluded_or_flagged,0.75,"Comtrade filtered on customs=C00, mot=0, partner2=0; quantity_source=net_wgt_kg; hs_scope=090111+090112+090121+090122+090190+210111+210112"
A,2020-01-01,2020,Vietnam,VNM,Algeria,DZA,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,60141636.503,kg,60141636.503,60141.636503,93745129.556,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111%2C090112%2C090121%2C090122%2C090190%2C210111%2C210112&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-06-03T15:38:59.579Z,ok,0.9,"Comtrade filtered on customs=C00, mot=0, partner2=0; quantity_source=net_wgt_kg; hs_scope=090111+090112+090121+090122+090190+210111+210112"
A,2020-01-01,2020,Vietnam,VNM,Argentina,ARG,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,335933.141,kg,335933.141,335.933141,519309.094,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111%2C090112%2C090121%2C090122%2C090190%2C210111%2C210112&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-06-03T15:38:59.579Z,ok,0.9,"Comtrade filtered on customs=C00, mot=0, partner2=0; quantity_source=net_wgt_kg; hs_scope=090111+090112+090121+090122+090190+210111+210112"
A,2020-01-01,2020,Vietnam,VNM,Australia,AUS,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,14981931.002,kg,14981931.002,14981.931002,23186038.823,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111%2C090112%2C090121%2C090122%2C090190%2C210111%2C210112&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-06-03T15:38:59.579Z,ok,0.9,"Comtrade filtered on customs=C00, mot=0, partner2=0; quantity_source=net_wgt_kg; hs_scope=090111+090112+090121+090122+090190+210111+210112"
A,2020-01-01,2020,Vietnam,VNM,Austria,AUT,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,420,kg,420,0.42,8673,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111%2C090112%2C090121%2C090122%2C090190%2C210111%2C210112&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-06-03T15:38:59.579Z,suspicious_unit_price,0.7,"Comtrade filtered on customs=C00, mot=0, partner2=0; quantity_source=net_wgt_kg; hs_scope=090111+090112+090121+090122+090190+210111+210112"
A,2020-01-01,2020,Vietnam,VNM,Belgium,BEL,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,69208319.913,kg,69208319.913,69208.319913,111863668.417,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111%2C090112%2C090121%2C090122%2C090190%2C210111%2C210112&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-06-03T15:38:59.579Z,ok,0.9,"Comtrade filtered on customs=C00, mot=0, partner2=0; quantity_source=net_wgt_kg; hs_scope=090111+090112+090121+090122+090190+210111+210112"
A,2020-01-01,2020,Vietnam,VNM,Brazil,BRA,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,19078.457,kg,19078.457,19.078457,29800,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111%2C090112%2C090121%2C090122%2C090190%2C210111%2C210112&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-06-03T15:38:59.579Z,ok,0.9,"Comtrade filtered on customs=C00, mot=0, partner2=0; quantity_source=net_wgt_kg; hs_scope=090111+090112+090121+090122+090190+210111+210112"
A,2020-01-01,2020,Vietnam,VNM,Brunei Darussalam,BRN,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,595.13,kg,595.13,0.59513,2820,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111%2C090112%2C090121%2C090122%2C090190%2C210111%2C210112&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-06-03T15:38:59.579Z,ok,0.9,"Comtrade filtered on customs=C00, mot=0, partner2=0; quantity_source=net_wgt_kg; hs_scope=090111+090112+090121+090122+090190+210111+210112"
A,2020-01-01,2020,Vietnam,VNM,Bulgaria,BGR,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,1167435.815,kg,1167435.815,1167.435815,1815061.709,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111%2C090112%2C090121%2C090122%2C090190%2C210111%2C210112&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-06-03T15:38:59.579Z,ok,0.9,"Comtrade filtered on customs=C00, mot=0, partner2=0; quantity_source=net_wgt_kg; hs_scope=090111+090112+090121+090122+090190+210111+210112"
A,2020-01-01,2020,Vietnam,VNM,Myanmar,MMR,Export,coffee,coffee_raw_core,090111,Coffee; not roasted or decaffeinated,154022.803,kg,154022.803,154.022803,294735.185,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=704&flowCode=X&cmdCode=090111%2C090112%2C090121%2C090122%2C090190%2C210111%2C210112&period=2020%2C2021%2C2022%2C2023%2C2024%2C2025%2C2026&includeDesc=true,2026-06-03T15:38:59.579Z,ok,0.9,"Comtrade filtered on customs=C00, mot=0, partner2=0; quantity_source=net_wgt_kg; hs_scope=090111+090112+090121+090122+090190+210111+210112"
