period_type,period_start,period_label,market_country,market_iso,vietnam_export_value_usd,vietnam_export_quantity_ton,vietnam_export_unit_value_usd_per_ton,vietnam_export_unit_value_flag,partner_import_value_usd,partner_import_quantity_ton,partner_import_unit_value_usd_per_ton,partner_import_unit_value_flag,value_gap_usd,quantity_gap_ton,unit_value_gap_usd_per_ton,mirror_gap_pct,mirror_gap_flag,confidence_score,interpretation_note
A,2023-01-01,2023,Germany,DEU,440611665.078,155843.388342,2827.272108,ok,3648755031.917999,1587221.9303,2298.831034,ok,3208143366.839999,1431378.541958,-528.441074,-18.690846,large_quantity_gap,0.82,"Mirror gap compares Vietnam export unit value with partner-reported import unit value; differences can reflect CIF/FOB, freight, insurance, timing, reporting, or classification effects."
A,2023-01-01,2023,Italy,ITA,318124614.973,115835.034321,2746.359224,ok,371128793.628,149363.483,2484.735801,ok,53004178.655,33528.448679,-261.623423,-9.526191,ok,0.82,"Mirror gap compares Vietnam export unit value with partner-reported import unit value; differences can reflect CIF/FOB, freight, insurance, timing, reporting, or classification effects."
A,2023-01-01,2023,USA,USA,247811857.319,84899.023293,2918.901157,ok,339205217,136134.286,2491.695714,ok,91393359.681,51235.262707,-427.205443,-14.635831,large_quantity_gap,0.82,"Mirror gap compares Vietnam export unit value with partner-reported import unit value; differences can reflect CIF/FOB, freight, insurance, timing, reporting, or classification effects."
A,2023-01-01,2023,Japan,JPN,233694701.733,76540.680167,3053.209107,ok,239270767.718,98725.9,2423.586594,ok,5576065.985,22185.219833,-629.622513,-20.621664,ok,0.82,"Mirror gap compares Vietnam export unit value with partner-reported import unit value; differences can reflect CIF/FOB, freight, insurance, timing, reporting, or classification effects."
A,2023-01-01,2023,Russian Federation,RUS,192279575.614,68949.045637,2788.719899,ok,,,,,,,,,missing_import_unit_value,0.85,"Mirror gap compares Vietnam export unit value with partner-reported import unit value; differences can reflect CIF/FOB, freight, insurance, timing, reporting, or classification effects."
A,2023-01-01,2023,Spain,ESP,160427747.482,55762.888606,2876.962645,ok,2159439509.117,850433.55144,2539.221913,ok,1999011761.635,794670.662834,-337.740732,-11.73949,large_quantity_gap,0.82,"Mirror gap compares Vietnam export unit value with partner-reported import unit value; differences can reflect CIF/FOB, freight, insurance, timing, reporting, or classification effects."
A,2023-01-01,2023,Algeria,DZA,160171544.473,53461.904998,2995.99396,ok,,,,,,,,,missing_import_unit_value,0.85,"Mirror gap compares Vietnam export unit value with partner-reported import unit value; differences can reflect CIF/FOB, freight, insurance, timing, reporting, or classification effects."
A,2023-01-01,2023,Belgium,BEL,138717432.068,49351.138529,2810.825367,ok,75259510.018,28560.11898,2635.125928,ok,-63457922.05,-20791.019549,-175.699439,-6.250813,ok,0.82,"Mirror gap compares Vietnam export unit value with partner-reported import unit value; differences can reflect CIF/FOB, freight, insurance, timing, reporting, or classification effects."
A,2023-01-01,2023,Netherlands,NLD,107551088.779,38337.065693,2805.407426,ok,84134869.396,31136.2,2702.155992,ok,-23416219.383,-7200.865693,-103.251434,-3.680443,ok,0.82,"Mirror gap compares Vietnam export unit value with partner-reported import unit value; differences can reflect CIF/FOB, freight, insurance, timing, reporting, or classification effects."
A,2023-01-01,2023,Philippines,PHL,79074884.812,23722.354773,3333.348884,ok,100077715,21464.681191,4662.436591,ok,21002830.188,-2257.673582,1329.087707,39.872445,ok,0.82,"Mirror gap compares Vietnam export unit value with partner-reported import unit value; differences can reflect CIF/FOB, freight, insurance, timing, reporting, or classification effects."
A,2023-01-01,2023,Rep. of Korea,KOR,74619443.776,24951.736881,2990.551084,ok,74856871,31402.22,2383.808247,ok,237427.224,6450.483119,-606.742837,-20.288663,ok,0.82,"Mirror gap compares Vietnam export unit value with partner-reported import unit value; differences can reflect CIF/FOB, freight, insurance, timing, reporting, or classification effects."
A,2023-01-01,2023,Thailand,THA,72064798.244,22298.074634,3231.884341,ok,486281253.096,174882.088,2780.623554,ok,414216454.852,152584.013366,-451.260787,-13.962776,large_quantity_gap,0.82,"Mirror gap compares Vietnam export unit value with partner-reported import unit value; differences can reflect CIF/FOB, freight, insurance, timing, reporting, or classification effects."
A,2023-01-01,2023,United Kingdom,GBR,71042752.429,24866.981816,2856.910941,ok,359869261.151,143629.328,2505.541634,ok,288826508.722,118762.346184,-351.369307,-12.298924,large_quantity_gap,0.82,"Mirror gap compares Vietnam export unit value with partner-reported import unit value; differences can reflect CIF/FOB, freight, insurance, timing, reporting, or classification effects."
A,2023-01-01,2023,Mexico,MEX,65831366.102,25152.606625,2617.278085,ok,,,,,,,,,missing_import_unit_value,0.85,"Mirror gap compares Vietnam export unit value with partner-reported import unit value; differences can reflect CIF/FOB, freight, insurance, timing, reporting, or classification effects."
A,2023-01-01,2023,India,IND,59960430.883,22632.322169,2649.327384,ok,,,,,,,,,missing_import_unit_value,0.85,"Mirror gap compares Vietnam export unit value with partner-reported import unit value; differences can reflect CIF/FOB, freight, insurance, timing, reporting, or classification effects."
