period_type,period_start,period_label,market_country,market_iso,vietnam_export_value_usd,vietnam_export_quantity_ton,vietnam_export_unit_value_usd_per_ton,vietnam_export_unit_value_flag,partner_import_value_usd,partner_import_quantity_ton,partner_import_unit_value_usd_per_ton,partner_import_unit_value_flag,value_gap_usd,quantity_gap_ton,unit_value_gap_usd_per_ton,mirror_gap_pct,mirror_gap_flag,confidence_score,interpretation_note
M,2026-03-01,202603,Germany,DEU,,,,,1220847285.897999,285977.021024,4269.039804,ok,,,,,missing_export_unit_value,0.82,"Mirror gap compares Vietnam export unit value with partner-reported import unit value; differences can reflect CIF/FOB, freight, insurance, timing, reporting, or classification effects."
M,2026-03-01,202603,Japan,JPN,,,,,29616952.371,6453.08,4589.583946,ok,,,,,missing_export_unit_value,0.82,"Mirror gap compares Vietnam export unit value with partner-reported import unit value; differences can reflect CIF/FOB, freight, insurance, timing, reporting, or classification effects."
M,2026-03-01,202603,USA,USA,,,,,76796512,16781.375,4576.294374,ok,,,,,missing_export_unit_value,0.82,"Mirror gap compares Vietnam export unit value with partner-reported import unit value; differences can reflect CIF/FOB, freight, insurance, timing, reporting, or classification effects."
M,2026-02-01,202602,Belgium,BEL,,,,,6496227.999,1322.14431,4913.403136,ok,,,,,missing_export_unit_value,0.82,"Mirror gap compares Vietnam export unit value with partner-reported import unit value; differences can reflect CIF/FOB, freight, insurance, timing, reporting, or classification effects."
M,2026-02-01,202602,Germany,DEU,,,,,1332443176.789,262927.860656,5067.71391,ok,,,,,missing_export_unit_value,0.82,"Mirror gap compares Vietnam export unit value with partner-reported import unit value; differences can reflect CIF/FOB, freight, insurance, timing, reporting, or classification effects."
M,2026-02-01,202602,Japan,JPN,,,,,47042744.614,10137.683,4640.384259,ok,,,,,missing_export_unit_value,0.82,"Mirror gap compares Vietnam export unit value with partner-reported import unit value; differences can reflect CIF/FOB, freight, insurance, timing, reporting, or classification effects."
M,2026-02-01,202602,Netherlands,NLD,,,,,19278322.623,3528.648,5463.373684,ok,,,,,missing_export_unit_value,0.82,"Mirror gap compares Vietnam export unit value with partner-reported import unit value; differences can reflect CIF/FOB, freight, insurance, timing, reporting, or classification effects."
M,2026-02-01,202602,Spain,ESP,,,,,295958593.28,60107.5792,4923.814887,ok,,,,,missing_export_unit_value,0.82,"Mirror gap compares Vietnam export unit value with partner-reported import unit value; differences can reflect CIF/FOB, freight, insurance, timing, reporting, or classification effects."
M,2026-02-01,202602,USA,USA,,,,,52151489,10743.01,4854.457829,ok,,,,,missing_export_unit_value,0.82,"Mirror gap compares Vietnam export unit value with partner-reported import unit value; differences can reflect CIF/FOB, freight, insurance, timing, reporting, or classification effects."
M,2026-01-01,202601,Belgium,BEL,,,,,5720966.003,1094.34763,5227.741027,ok,,,,,missing_export_unit_value,0.82,"Mirror gap compares Vietnam export unit value with partner-reported import unit value; differences can reflect CIF/FOB, freight, insurance, timing, reporting, or classification effects."
M,2026-01-01,202601,Germany,DEU,,,,,657330581.372,127700.788784,5147.42773,ok,,,,,missing_export_unit_value,0.82,"Mirror gap compares Vietnam export unit value with partner-reported import unit value; differences can reflect CIF/FOB, freight, insurance, timing, reporting, or classification effects."
M,2026-01-01,202601,Italy,ITA,,,,,52563305.065,10174.518,5166.171514,ok,,,,,missing_export_unit_value,0.82,"Mirror gap compares Vietnam export unit value with partner-reported import unit value; differences can reflect CIF/FOB, freight, insurance, timing, reporting, or classification effects."
M,2026-01-01,202601,Japan,JPN,,,,,40821022.754,8895.33,4589.039727,ok,,,,,missing_export_unit_value,0.82,"Mirror gap compares Vietnam export unit value with partner-reported import unit value; differences can reflect CIF/FOB, freight, insurance, timing, reporting, or classification effects."
M,2026-01-01,202601,Netherlands,NLD,,,,,11083920.442,2238.06,4952.46796,ok,,,,,missing_export_unit_value,0.82,"Mirror gap compares Vietnam export unit value with partner-reported import unit value; differences can reflect CIF/FOB, freight, insurance, timing, reporting, or classification effects."
M,2026-01-01,202601,Spain,ESP,,,,,353052104.91,67607.3656,5222.095282,ok,,,,,missing_export_unit_value,0.82,"Mirror gap compares Vietnam export unit value with partner-reported import unit value; differences can reflect CIF/FOB, freight, insurance, timing, reporting, or classification effects."
M,2026-01-01,202601,USA,USA,,,,,29448600,5530.05,5325.195975,ok,,,,,missing_export_unit_value,0.82,"Mirror gap compares Vietnam export unit value with partner-reported import unit value; differences can reflect CIF/FOB, freight, insurance, timing, reporting, or classification effects."
M,2025-12-01,202512,Belgium,BEL,,,,,2248508.433,420.39598,5348.548844,ok,,,,,missing_export_unit_value,0.82,"Mirror gap compares Vietnam export unit value with partner-reported import unit value; differences can reflect CIF/FOB, freight, insurance, timing, reporting, or classification effects."
M,2025-12-01,202512,Germany,DEU,,,,,337673641.144,78082.91344,4324.552277,ok,,,,,missing_export_unit_value,0.82,"Mirror gap compares Vietnam export unit value with partner-reported import unit value; differences can reflect CIF/FOB, freight, insurance, timing, reporting, or classification effects."
M,2025-12-01,202512,Italy,ITA,,,,,38076005.938,7076.305,5380.775127,ok,,,,,missing_export_unit_value,0.82,"Mirror gap compares Vietnam export unit value with partner-reported import unit value; differences can reflect CIF/FOB, freight, insurance, timing, reporting, or classification effects."
M,2025-12-01,202512,Japan,JPN,,,,,26052414.232,5335.76,4882.606083,ok,,,,,missing_export_unit_value,0.82,"Mirror gap compares Vietnam export unit value with partner-reported import unit value; differences can reflect CIF/FOB, freight, insurance, timing, reporting, or classification effects."
M,2025-12-01,202512,Netherlands,NLD,,,,,8901449.276,1765.498,5041.891453,ok,,,,,missing_export_unit_value,0.82,"Mirror gap compares Vietnam export unit value with partner-reported import unit value; differences can reflect CIF/FOB, freight, insurance, timing, reporting, or classification effects."
M,2025-12-01,202512,Rep. of Korea,KOR,,,,,4220623,1023.033225,4125.597192,ok,,,,,missing_export_unit_value,0.82,"Mirror gap compares Vietnam export unit value with partner-reported import unit value; differences can reflect CIF/FOB, freight, insurance, timing, reporting, or classification effects."
M,2025-12-01,202512,Spain,ESP,,,,,209817206.928,36308.176,5778.786765,ok,,,,,missing_export_unit_value,0.82,"Mirror gap compares Vietnam export unit value with partner-reported import unit value; differences can reflect CIF/FOB, freight, insurance, timing, reporting, or classification effects."
M,2025-12-01,202512,USA,USA,,,,,17126627,3511.85,4876.810513,ok,,,,,missing_export_unit_value,0.82,"Mirror gap compares Vietnam export unit value with partner-reported import unit value; differences can reflect CIF/FOB, freight, insurance, timing, reporting, or classification effects."
