dedupe_key,source_name,source_url,fetched_at,price_date,commodity_group,commodity_slug,location_name,province,province_code,district,price_type,price_raw,price_value,currency,unit,change_raw,change_value,confidence_score,raw_payload,notes
congthuong|2026-05-30|DLK|na|domestic_farmgate_or_local,congthuong,https://congthuong.vn/gia-ca-phe-hom-nay-29-5-2026-bat-tang-tien-gan-moc-90-000-dong-kg-458769.html,2026-05-29T19:58:30.195Z,2026-05-30,coffee,ca-phe-robusta,Đắk Lắk,Dak Lak,DLK,,domestic_farmgate_or_local,89100,89100,VND,kg,1400,1400,0.82,"{""commodity"":""ca-phe-robusta"",""commodityName"":""Ca phe Robusta"",""category"":""Cay cong nghiep"",""region"":""Đắk Lắk"",""price"":89100,""unit"":""VND/kg"",""unitRaw"":""VND/kg"",""normalizedUnitKey"":null,""unitQuantity"":null,""change"":1400,""changePct"":1.6,""timestamp"":""2026-05-29T19:58:30.196Z"",""source"":""congthuong"",""previousPrice"":87700,""variety"":null,""qualityGrade"":null,""marketName"":null,""articleTitle"":null,""countryCode"":null,""exchangeRate"":null,""priceUsd"":null,""dedupeKey"":null,""sourcePriority"":100,""normalizedProvinceCode"":""DLK"",""sourceUrl"":""https://congthuong.vn/gia-ca-phe-hom-nay-29-5-2026-bat-tang-tien-gan-moc-90-000-dong-kg-458769.html""}",Domestic coffee price normalized to VND/kg from public Vietnamese price source.
congthuong|2026-05-30|LDO|na|domestic_farmgate_or_local,congthuong,https://congthuong.vn/gia-ca-phe-hom-nay-29-5-2026-bat-tang-tien-gan-moc-90-000-dong-kg-458769.html,2026-05-29T19:58:30.195Z,2026-05-30,coffee,ca-phe-robusta,Lâm Đồng,Lam Dong,LDO,,domestic_farmgate_or_local,88600,88600,VND,kg,1400,1400,0.82,"{""commodity"":""ca-phe-robusta"",""commodityName"":""Ca phe Robusta"",""category"":""Cay cong nghiep"",""region"":""Lâm Đồng"",""price"":88600,""unit"":""VND/kg"",""unitRaw"":""VND/kg"",""normalizedUnitKey"":null,""unitQuantity"":null,""change"":1400,""changePct"":1.61,""timestamp"":""2026-05-29T19:58:30.196Z"",""source"":""congthuong"",""previousPrice"":87200,""variety"":null,""qualityGrade"":null,""marketName"":null,""articleTitle"":null,""countryCode"":null,""exchangeRate"":null,""priceUsd"":null,""dedupeKey"":null,""sourcePriority"":100,""normalizedProvinceCode"":""LDO"",""sourceUrl"":""https://congthuong.vn/gia-ca-phe-hom-nay-29-5-2026-bat-tang-tien-gan-moc-90-000-dong-kg-458769.html""}",Domestic coffee price normalized to VND/kg from public Vietnamese price source.
nongnghiep|2026-05-30|DLK|na|domestic_farmgate_or_local,nongnghiep,https://nongnghiepmoitruong.vn/gia-ca-phe-hom-nay-28-5-2026-trong-nuoc-dieu-chinh-tang-d813579.html,2026-05-29T19:58:30.195Z,2026-05-30,coffee,ca-phe-robusta,Đắk Lắk,Dak Lak,DLK,,domestic_farmgate_or_local,88500,88500,VND,kg,700,700,0.78,"{""commodity"":""ca-phe-robusta"",""commodityName"":""Ca phe Robusta"",""category"":""Cay cong nghiep"",""region"":""Đắk Lắk"",""price"":88500,""unit"":""VND/kg"",""unitRaw"":""VND/kg"",""normalizedUnitKey"":null,""unitQuantity"":null,""change"":700,""changePct"":0.8,""timestamp"":""2026-05-29T19:58:30.208Z"",""source"":""nongnghiep"",""previousPrice"":87800,""variety"":null,""qualityGrade"":null,""marketName"":null,""articleTitle"":null,""countryCode"":null,""exchangeRate"":null,""priceUsd"":null,""dedupeKey"":null,""sourcePriority"":90,""normalizedProvinceCode"":""DLK"",""sourceUrl"":""https://nongnghiepmoitruong.vn/gia-ca-phe-hom-nay-28-5-2026-trong-nuoc-dieu-chinh-tang-d813579.html""}",Domestic coffee price normalized to VND/kg from public Vietnamese price source.
nongnghiep|2026-05-30|DNO|na|domestic_farmgate_or_local,nongnghiep,https://nongnghiepmoitruong.vn/gia-ca-phe-hom-nay-28-5-2026-trong-nuoc-dieu-chinh-tang-d813579.html,2026-05-29T19:58:30.195Z,2026-05-30,coffee,ca-phe-robusta,Dak Nong (lam Dong Moi),Dak Nong,DNO,,domestic_farmgate_or_local,88600,88600,VND,kg,700,700,0.78,"{""commodity"":""ca-phe-robusta"",""commodityName"":""Ca phe Robusta"",""category"":""Cay cong nghiep"",""region"":""Dak Nong (lam Dong Moi)"",""price"":88600,""unit"":""VND/kg"",""unitRaw"":""VND/kg"",""normalizedUnitKey"":null,""unitQuantity"":null,""change"":700,""changePct"":0.8,""timestamp"":""2026-05-29T19:58:30.208Z"",""source"":""nongnghiep"",""previousPrice"":87900,""variety"":null,""qualityGrade"":null,""marketName"":null,""articleTitle"":null,""countryCode"":null,""exchangeRate"":null,""priceUsd"":null,""dedupeKey"":null,""sourcePriority"":90,""normalizedProvinceCode"":""DNO"",""sourceUrl"":""https://nongnghiepmoitruong.vn/gia-ca-phe-hom-nay-28-5-2026-trong-nuoc-dieu-chinh-tang-d813579.html""}",Domestic coffee price normalized to VND/kg from public Vietnamese price source.
nongnghiep|2026-05-30|GLA|na|domestic_farmgate_or_local,nongnghiep,https://nongnghiepmoitruong.vn/gia-ca-phe-hom-nay-28-5-2026-trong-nuoc-dieu-chinh-tang-d813579.html,2026-05-29T19:58:30.195Z,2026-05-30,coffee,ca-phe-robusta,Gia Lai,Gia Lai,GLA,,domestic_farmgate_or_local,88500,88500,VND,kg,700,700,0.78,"{""commodity"":""ca-phe-robusta"",""commodityName"":""Ca phe Robusta"",""category"":""Cay cong nghiep"",""region"":""Gia Lai"",""price"":88500,""unit"":""VND/kg"",""unitRaw"":""VND/kg"",""normalizedUnitKey"":null,""unitQuantity"":null,""change"":700,""changePct"":0.8,""timestamp"":""2026-05-29T19:58:30.208Z"",""source"":""nongnghiep"",""previousPrice"":87800,""variety"":null,""qualityGrade"":null,""marketName"":null,""articleTitle"":null,""countryCode"":null,""exchangeRate"":null,""priceUsd"":null,""dedupeKey"":null,""sourcePriority"":90,""normalizedProvinceCode"":""GLA"",""sourceUrl"":""https://nongnghiepmoitruong.vn/gia-ca-phe-hom-nay-28-5-2026-trong-nuoc-dieu-chinh-tang-d813579.html""}",Domestic coffee price normalized to VND/kg from public Vietnamese price source.
nongnghiep|2026-05-30|LDO|na|domestic_farmgate_or_local,nongnghiep,https://nongnghiepmoitruong.vn/gia-ca-phe-hom-nay-28-5-2026-trong-nuoc-dieu-chinh-tang-d813579.html,2026-05-29T19:58:30.195Z,2026-05-30,coffee,ca-phe-robusta,Lâm Đồng,Lam Dong,LDO,,domestic_farmgate_or_local,88000,88000,VND,kg,700,700,0.78,"{""commodity"":""ca-phe-robusta"",""commodityName"":""Ca phe Robusta"",""category"":""Cay cong nghiep"",""region"":""Lâm Đồng"",""price"":88000,""unit"":""VND/kg"",""unitRaw"":""VND/kg"",""normalizedUnitKey"":null,""unitQuantity"":null,""change"":700,""changePct"":0.8,""timestamp"":""2026-05-29T19:58:30.208Z"",""source"":""nongnghiep"",""previousPrice"":87300,""variety"":null,""qualityGrade"":null,""marketName"":null,""articleTitle"":null,""countryCode"":null,""exchangeRate"":null,""priceUsd"":null,""dedupeKey"":null,""sourcePriority"":90,""normalizedProvinceCode"":""LDO"",""sourceUrl"":""https://nongnghiepmoitruong.vn/gia-ca-phe-hom-nay-28-5-2026-trong-nuoc-dieu-chinh-tang-d813579.html""}",Domestic coffee price normalized to VND/kg from public Vietnamese price source.
vietnambiz|2026-05-30|DLK|na|domestic_farmgate_or_local,vietnambiz,https://vietnambiz.vn/gia-ca-phe-hom-nay-295-hai-san-tang-manh-trong-nuoc-tien-gan-moc-90000-dongkg-20265297042382.htm,2026-05-29T19:58:30.195Z,2026-05-30,coffee,ca-phe-robusta,Đắk Lắk,Dak Lak,DLK,,domestic_farmgate_or_local,89100,89100,VND,kg,1400,1400,0.74,"{""commodity"":""ca-phe-robusta"",""commodityName"":""Ca phe Robusta"",""category"":""Cay cong nghiep"",""region"":""Đắk Lắk"",""price"":89100,""unit"":""VND/kg"",""unitRaw"":""VND/kg"",""normalizedUnitKey"":null,""unitQuantity"":null,""change"":1400,""changePct"":1.6,""timestamp"":""2026-05-29T19:58:30.212Z"",""source"":""vietnambiz"",""previousPrice"":87700,""variety"":null,""qualityGrade"":null,""marketName"":null,""articleTitle"":null,""countryCode"":null,""exchangeRate"":null,""priceUsd"":null,""dedupeKey"":null,""sourcePriority"":80,""normalizedProvinceCode"":""DLK"",""sourceUrl"":""https://vietnambiz.vn/gia-ca-phe-hom-nay-295-hai-san-tang-manh-trong-nuoc-tien-gan-moc-90000-dongkg-20265297042382.htm""}",Domestic coffee price normalized to VND/kg from public Vietnamese price source.
vietnambiz|2026-05-30|DNO|na|domestic_farmgate_or_local,vietnambiz,https://vietnambiz.vn/gia-ca-phe-hom-nay-295-hai-san-tang-manh-trong-nuoc-tien-gan-moc-90000-dongkg-20265297042382.htm,2026-05-29T19:58:30.195Z,2026-05-30,coffee,ca-phe-robusta,Đắk Nông,Dak Nong,DNO,,domestic_farmgate_or_local,89200,89200,VND,kg,1400,1400,0.74,"{""commodity"":""ca-phe-robusta"",""commodityName"":""Ca phe Robusta"",""category"":""Cay cong nghiep"",""region"":""Đắk Nông"",""price"":89200,""unit"":""VND/kg"",""unitRaw"":""VND/kg"",""normalizedUnitKey"":null,""unitQuantity"":null,""change"":1400,""changePct"":1.59,""timestamp"":""2026-05-29T19:58:30.212Z"",""source"":""vietnambiz"",""previousPrice"":87800,""variety"":null,""qualityGrade"":null,""marketName"":null,""articleTitle"":null,""countryCode"":null,""exchangeRate"":null,""priceUsd"":null,""dedupeKey"":null,""sourcePriority"":80,""normalizedProvinceCode"":""DNO"",""sourceUrl"":""https://vietnambiz.vn/gia-ca-phe-hom-nay-295-hai-san-tang-manh-trong-nuoc-tien-gan-moc-90000-dongkg-20265297042382.htm""}",Domestic coffee price normalized to VND/kg from public Vietnamese price source.
vietnambiz|2026-05-30|GLA|na|domestic_farmgate_or_local,vietnambiz,https://vietnambiz.vn/gia-ca-phe-hom-nay-295-hai-san-tang-manh-trong-nuoc-tien-gan-moc-90000-dongkg-20265297042382.htm,2026-05-29T19:58:30.195Z,2026-05-30,coffee,ca-phe-robusta,Gia Lai,Gia Lai,GLA,,domestic_farmgate_or_local,89100,89100,VND,kg,1400,1400,0.74,"{""commodity"":""ca-phe-robusta"",""commodityName"":""Ca phe Robusta"",""category"":""Cay cong nghiep"",""region"":""Gia Lai"",""price"":89100,""unit"":""VND/kg"",""unitRaw"":""VND/kg"",""normalizedUnitKey"":null,""unitQuantity"":null,""change"":1400,""changePct"":1.6,""timestamp"":""2026-05-29T19:58:30.212Z"",""source"":""vietnambiz"",""previousPrice"":87700,""variety"":null,""qualityGrade"":null,""marketName"":null,""articleTitle"":null,""countryCode"":null,""exchangeRate"":null,""priceUsd"":null,""dedupeKey"":null,""sourcePriority"":80,""normalizedProvinceCode"":""GLA"",""sourceUrl"":""https://vietnambiz.vn/gia-ca-phe-hom-nay-295-hai-san-tang-manh-trong-nuoc-tien-gan-moc-90000-dongkg-20265297042382.htm""}",Domestic coffee price normalized to VND/kg from public Vietnamese price source.
vietnambiz|2026-05-30|LDO|na|domestic_farmgate_or_local,vietnambiz,https://vietnambiz.vn/gia-ca-phe-hom-nay-295-hai-san-tang-manh-trong-nuoc-tien-gan-moc-90000-dongkg-20265297042382.htm,2026-05-29T19:58:30.195Z,2026-05-30,coffee,ca-phe-robusta,Lâm Đồng,Lam Dong,LDO,,domestic_farmgate_or_local,88600,88600,VND,kg,1400,1400,0.74,"{""commodity"":""ca-phe-robusta"",""commodityName"":""Ca phe Robusta"",""category"":""Cay cong nghiep"",""region"":""Lâm Đồng"",""price"":88600,""unit"":""VND/kg"",""unitRaw"":""VND/kg"",""normalizedUnitKey"":null,""unitQuantity"":null,""change"":1400,""changePct"":1.61,""timestamp"":""2026-05-29T19:58:30.212Z"",""source"":""vietnambiz"",""previousPrice"":87200,""variety"":null,""qualityGrade"":null,""marketName"":null,""articleTitle"":null,""countryCode"":null,""exchangeRate"":null,""priceUsd"":null,""dedupeKey"":null,""sourcePriority"":80,""normalizedProvinceCode"":""LDO"",""sourceUrl"":""https://vietnambiz.vn/gia-ca-phe-hom-nay-295-hai-san-tang-manh-trong-nuoc-tien-gan-moc-90000-dongkg-20265297042382.htm""}",Domestic coffee price normalized to VND/kg from public Vietnamese price source.
