sync_run_id,source_name,source_url,fetched_at,query_params,type_code,freq_code,ref_period_id,period,reporter_code,reporter_iso,reporter_desc,partner_code,partner_iso,partner_desc,partner2_code,partner2_iso,partner2_desc,flow_code,flow_desc,classification_code,cmd_code,cmd_desc,customs_code,customs_desc,mot_code,mot_desc,qty_unit_code,qty_unit_abbr,qty,net_wgt_kg,gross_wgt_kg,trade_value_usd,is_original_classification,is_reported,is_aggregate,raw_payload
,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=360&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T18:34:22.015Z,"{""reporters"":[{""endpoint"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS"",""reporterCode"":704,""reporterISO"":""VNM"",""flowCode"":""X"",""cmdCode"":""090111"",""period"":""2020,2021,2022,2023,2024,2025"",""includeDesc"":true},{""endpoint"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS"",""reporterCode"":76,""reporterISO"":""BRA"",""flowCode"":""X"",""cmdCode"":""090111"",""period"":""2020,2021,2022,2023,2024,2025"",""includeDesc"":true},{""endpoint"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS"",""reporterCode"":360,""reporterISO"":""IDN"",""flowCode"":""X"",""cmdCode"":""090111"",""period"":""2020,2021,2022,2023,2024,2025"",""includeDesc"":true}]}",C,A,20200101,2020,360,IDN,Indonesia,0,W00,World,0,W00,World,X,Export,H5,090111,Coffee; not roasted or decaffeinated,C00,TOTAL CPC,0,TOTAL MOT,8,kg,375554873.009,375554873.009,0,809158886.838,true,false,true,"{""typeCode"":""C"",""freqCode"":""A"",""refPeriodId"":20200101,""refYear"":2020,""refMonth"":52,""period"":""2020"",""reporterCode"":360,""reporterISO"":""IDN"",""reporterDesc"":""Indonesia"",""flowCode"":""X"",""flowDesc"":""Export"",""partnerCode"":0,""partnerISO"":""W00"",""partnerDesc"":""World"",""partner2Code"":0,""partner2ISO"":""W00"",""partner2Desc"":""World"",""classificationCode"":""H5"",""classificationSearchCode"":""HS"",""isOriginalClassification"":true,""cmdCode"":""090111"",""cmdDesc"":""Coffee; not roasted or decaffeinated"",""aggrLevel"":6,""isLeaf"":true,""customsCode"":""C00"",""customsDesc"":""TOTAL CPC"",""mosCode"":""0"",""motCode"":0,""motDesc"":""TOTAL MOT"",""qtyUnitCode"":8,""qtyUnitAbbr"":""kg"",""qty"":375554873.009,""isQtyEstimated"":true,""altQtyUnitCode"":8,""altQtyUnitAbbr"":""kg"",""altQty"":375555872.545,""isAltQtyEstimated"":false,""netWgt"":375554873.009,""isNetWgtEstimated"":true,""grossWgt"":0,""isGrossWgtEstimated"":false,""cifvalue"":0,""fobvalue"":809158886.838,""primaryValue"":809158886.838,""legacyEstimationFlag"":6,""isReported"":false,""isAggregate"":true}"
,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=360&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T18:34:22.015Z,"{""reporters"":[{""endpoint"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS"",""reporterCode"":704,""reporterISO"":""VNM"",""flowCode"":""X"",""cmdCode"":""090111"",""period"":""2020,2021,2022,2023,2024,2025"",""includeDesc"":true},{""endpoint"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS"",""reporterCode"":76,""reporterISO"":""BRA"",""flowCode"":""X"",""cmdCode"":""090111"",""period"":""2020,2021,2022,2023,2024,2025"",""includeDesc"":true},{""endpoint"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS"",""reporterCode"":360,""reporterISO"":""IDN"",""flowCode"":""X"",""cmdCode"":""090111"",""period"":""2020,2021,2022,2023,2024,2025"",""includeDesc"":true}]}",C,A,20200101,2020,360,IDN,Indonesia,8,ALB,Albania,0,W00,World,X,Export,H5,090111,Coffee; not roasted or decaffeinated,C00,TOTAL CPC,0,TOTAL MOT,8,kg,38400,38400,0,55718.4,true,true,false,"{""typeCode"":""C"",""freqCode"":""A"",""refPeriodId"":20200101,""refYear"":2020,""refMonth"":52,""period"":""2020"",""reporterCode"":360,""reporterISO"":""IDN"",""reporterDesc"":""Indonesia"",""flowCode"":""X"",""flowDesc"":""Export"",""partnerCode"":8,""partnerISO"":""ALB"",""partnerDesc"":""Albania"",""partner2Code"":0,""partner2ISO"":""W00"",""partner2Desc"":""World"",""classificationCode"":""H5"",""classificationSearchCode"":""HS"",""isOriginalClassification"":true,""cmdCode"":""090111"",""cmdDesc"":""Coffee; not roasted or decaffeinated"",""aggrLevel"":6,""isLeaf"":true,""customsCode"":""C00"",""customsDesc"":""TOTAL CPC"",""mosCode"":""0"",""motCode"":0,""motDesc"":""TOTAL MOT"",""qtyUnitCode"":8,""qtyUnitAbbr"":""kg"",""qty"":38400,""isQtyEstimated"":false,""altQtyUnitCode"":8,""altQtyUnitAbbr"":""kg"",""altQty"":38400,""isAltQtyEstimated"":false,""netWgt"":38400,""isNetWgtEstimated"":false,""grossWgt"":0,""isGrossWgtEstimated"":false,""cifvalue"":0,""fobvalue"":55718.4,""primaryValue"":55718.4,""legacyEstimationFlag"":0,""isReported"":true,""isAggregate"":false}"
,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=360&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T18:34:22.015Z,"{""reporters"":[{""endpoint"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS"",""reporterCode"":704,""reporterISO"":""VNM"",""flowCode"":""X"",""cmdCode"":""090111"",""period"":""2020,2021,2022,2023,2024,2025"",""includeDesc"":true},{""endpoint"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS"",""reporterCode"":76,""reporterISO"":""BRA"",""flowCode"":""X"",""cmdCode"":""090111"",""period"":""2020,2021,2022,2023,2024,2025"",""includeDesc"":true},{""endpoint"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS"",""reporterCode"":360,""reporterISO"":""IDN"",""flowCode"":""X"",""cmdCode"":""090111"",""period"":""2020,2021,2022,2023,2024,2025"",""includeDesc"":true}]}",C,A,20200101,2020,360,IDN,Indonesia,12,DZA,Algeria,0,W00,World,X,Export,H5,090111,Coffee; not roasted or decaffeinated,C00,TOTAL CPC,0,TOTAL MOT,8,kg,5919600,5919600,0,9068521.27,true,true,false,"{""typeCode"":""C"",""freqCode"":""A"",""refPeriodId"":20200101,""refYear"":2020,""refMonth"":52,""period"":""2020"",""reporterCode"":360,""reporterISO"":""IDN"",""reporterDesc"":""Indonesia"",""flowCode"":""X"",""flowDesc"":""Export"",""partnerCode"":12,""partnerISO"":""DZA"",""partnerDesc"":""Algeria"",""partner2Code"":0,""partner2ISO"":""W00"",""partner2Desc"":""World"",""classificationCode"":""H5"",""classificationSearchCode"":""HS"",""isOriginalClassification"":true,""cmdCode"":""090111"",""cmdDesc"":""Coffee; not roasted or decaffeinated"",""aggrLevel"":6,""isLeaf"":true,""customsCode"":""C00"",""customsDesc"":""TOTAL CPC"",""mosCode"":""0"",""motCode"":0,""motDesc"":""TOTAL MOT"",""qtyUnitCode"":8,""qtyUnitAbbr"":""kg"",""qty"":5919600,""isQtyEstimated"":false,""altQtyUnitCode"":8,""altQtyUnitAbbr"":""kg"",""altQty"":5919600,""isAltQtyEstimated"":false,""netWgt"":5919600,""isNetWgtEstimated"":false,""grossWgt"":0,""isGrossWgtEstimated"":false,""cifvalue"":0,""fobvalue"":9068521.27,""primaryValue"":9068521.27,""legacyEstimationFlag"":0,""isReported"":true,""isAggregate"":false}"
,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=360&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T18:34:22.015Z,"{""reporters"":[{""endpoint"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS"",""reporterCode"":704,""reporterISO"":""VNM"",""flowCode"":""X"",""cmdCode"":""090111"",""period"":""2020,2021,2022,2023,2024,2025"",""includeDesc"":true},{""endpoint"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS"",""reporterCode"":76,""reporterISO"":""BRA"",""flowCode"":""X"",""cmdCode"":""090111"",""period"":""2020,2021,2022,2023,2024,2025"",""includeDesc"":true},{""endpoint"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS"",""reporterCode"":360,""reporterISO"":""IDN"",""flowCode"":""X"",""cmdCode"":""090111"",""period"":""2020,2021,2022,2023,2024,2025"",""includeDesc"":true}]}",C,A,20200101,2020,360,IDN,Indonesia,36,AUS,Australia,0,W00,World,X,Export,H5,090111,Coffee; not roasted or decaffeinated,C00,TOTAL CPC,0,TOTAL MOT,8,kg,5961125.95,5961125.95,0,13828292.307,true,true,false,"{""typeCode"":""C"",""freqCode"":""A"",""refPeriodId"":20200101,""refYear"":2020,""refMonth"":52,""period"":""2020"",""reporterCode"":360,""reporterISO"":""IDN"",""reporterDesc"":""Indonesia"",""flowCode"":""X"",""flowDesc"":""Export"",""partnerCode"":36,""partnerISO"":""AUS"",""partnerDesc"":""Australia"",""partner2Code"":0,""partner2ISO"":""W00"",""partner2Desc"":""World"",""classificationCode"":""H5"",""classificationSearchCode"":""HS"",""isOriginalClassification"":true,""cmdCode"":""090111"",""cmdDesc"":""Coffee; not roasted or decaffeinated"",""aggrLevel"":6,""isLeaf"":true,""customsCode"":""C00"",""customsDesc"":""TOTAL CPC"",""mosCode"":""0"",""motCode"":0,""motDesc"":""TOTAL MOT"",""qtyUnitCode"":8,""qtyUnitAbbr"":""kg"",""qty"":5961125.95,""isQtyEstimated"":false,""altQtyUnitCode"":8,""altQtyUnitAbbr"":""kg"",""altQty"":5961125.95,""isAltQtyEstimated"":false,""netWgt"":5961125.95,""isNetWgtEstimated"":false,""grossWgt"":0,""isGrossWgtEstimated"":false,""cifvalue"":0,""fobvalue"":13828292.307,""primaryValue"":13828292.307,""legacyEstimationFlag"":0,""isReported"":true,""isAggregate"":false}"
,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=360&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T18:34:22.015Z,"{""reporters"":[{""endpoint"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS"",""reporterCode"":704,""reporterISO"":""VNM"",""flowCode"":""X"",""cmdCode"":""090111"",""period"":""2020,2021,2022,2023,2024,2025"",""includeDesc"":true},{""endpoint"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS"",""reporterCode"":76,""reporterISO"":""BRA"",""flowCode"":""X"",""cmdCode"":""090111"",""period"":""2020,2021,2022,2023,2024,2025"",""includeDesc"":true},{""endpoint"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS"",""reporterCode"":360,""reporterISO"":""IDN"",""flowCode"":""X"",""cmdCode"":""090111"",""period"":""2020,2021,2022,2023,2024,2025"",""includeDesc"":true}]}",C,A,20200101,2020,360,IDN,Indonesia,51,ARM,Armenia,0,W00,World,X,Export,H5,090111,Coffee; not roasted or decaffeinated,C00,TOTAL CPC,0,TOTAL MOT,8,kg,19200,19200,0,34368,true,true,false,"{""typeCode"":""C"",""freqCode"":""A"",""refPeriodId"":20200101,""refYear"":2020,""refMonth"":52,""period"":""2020"",""reporterCode"":360,""reporterISO"":""IDN"",""reporterDesc"":""Indonesia"",""flowCode"":""X"",""flowDesc"":""Export"",""partnerCode"":51,""partnerISO"":""ARM"",""partnerDesc"":""Armenia"",""partner2Code"":0,""partner2ISO"":""W00"",""partner2Desc"":""World"",""classificationCode"":""H5"",""classificationSearchCode"":""HS"",""isOriginalClassification"":true,""cmdCode"":""090111"",""cmdDesc"":""Coffee; not roasted or decaffeinated"",""aggrLevel"":6,""isLeaf"":true,""customsCode"":""C00"",""customsDesc"":""TOTAL CPC"",""mosCode"":""0"",""motCode"":0,""motDesc"":""TOTAL MOT"",""qtyUnitCode"":8,""qtyUnitAbbr"":""kg"",""qty"":19200,""isQtyEstimated"":false,""altQtyUnitCode"":8,""altQtyUnitAbbr"":""kg"",""altQty"":19200,""isAltQtyEstimated"":false,""netWgt"":19200,""isNetWgtEstimated"":false,""grossWgt"":0,""isGrossWgtEstimated"":false,""cifvalue"":0,""fobvalue"":34368,""primaryValue"":34368,""legacyEstimationFlag"":0,""isReported"":true,""isAggregate"":false}"
,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=360&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T18:34:22.015Z,"{""reporters"":[{""endpoint"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS"",""reporterCode"":704,""reporterISO"":""VNM"",""flowCode"":""X"",""cmdCode"":""090111"",""period"":""2020,2021,2022,2023,2024,2025"",""includeDesc"":true},{""endpoint"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS"",""reporterCode"":76,""reporterISO"":""BRA"",""flowCode"":""X"",""cmdCode"":""090111"",""period"":""2020,2021,2022,2023,2024,2025"",""includeDesc"":true},{""endpoint"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS"",""reporterCode"":360,""reporterISO"":""IDN"",""flowCode"":""X"",""cmdCode"":""090111"",""period"":""2020,2021,2022,2023,2024,2025"",""includeDesc"":true}]}",C,A,20200101,2020,360,IDN,Indonesia,56,BEL,Belgium,0,W00,World,X,Export,H5,090111,Coffee; not roasted or decaffeinated,C00,TOTAL CPC,0,TOTAL MOT,8,kg,14758107,14758107,0,38292709.03,true,true,false,"{""typeCode"":""C"",""freqCode"":""A"",""refPeriodId"":20200101,""refYear"":2020,""refMonth"":52,""period"":""2020"",""reporterCode"":360,""reporterISO"":""IDN"",""reporterDesc"":""Indonesia"",""flowCode"":""X"",""flowDesc"":""Export"",""partnerCode"":56,""partnerISO"":""BEL"",""partnerDesc"":""Belgium"",""partner2Code"":0,""partner2ISO"":""W00"",""partner2Desc"":""World"",""classificationCode"":""H5"",""classificationSearchCode"":""HS"",""isOriginalClassification"":true,""cmdCode"":""090111"",""cmdDesc"":""Coffee; not roasted or decaffeinated"",""aggrLevel"":6,""isLeaf"":true,""customsCode"":""C00"",""customsDesc"":""TOTAL CPC"",""mosCode"":""0"",""motCode"":0,""motDesc"":""TOTAL MOT"",""qtyUnitCode"":8,""qtyUnitAbbr"":""kg"",""qty"":14758107,""isQtyEstimated"":false,""altQtyUnitCode"":8,""altQtyUnitAbbr"":""kg"",""altQty"":14758107,""isAltQtyEstimated"":false,""netWgt"":14758107,""isNetWgtEstimated"":false,""grossWgt"":0,""isGrossWgtEstimated"":false,""cifvalue"":0,""fobvalue"":38292709.03,""primaryValue"":38292709.03,""legacyEstimationFlag"":0,""isReported"":true,""isAggregate"":false}"
,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=360&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T18:34:22.015Z,"{""reporters"":[{""endpoint"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS"",""reporterCode"":704,""reporterISO"":""VNM"",""flowCode"":""X"",""cmdCode"":""090111"",""period"":""2020,2021,2022,2023,2024,2025"",""includeDesc"":true},{""endpoint"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS"",""reporterCode"":76,""reporterISO"":""BRA"",""flowCode"":""X"",""cmdCode"":""090111"",""period"":""2020,2021,2022,2023,2024,2025"",""includeDesc"":true},{""endpoint"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS"",""reporterCode"":360,""reporterISO"":""IDN"",""flowCode"":""X"",""cmdCode"":""090111"",""period"":""2020,2021,2022,2023,2024,2025"",""includeDesc"":true}]}",C,A,20200101,2020,360,IDN,Indonesia,100,BGR,Bulgaria,0,W00,World,X,Export,H5,090111,Coffee; not roasted or decaffeinated,C00,TOTAL CPC,0,TOTAL MOT,8,kg,919200,919200,0,1529224.6,true,true,false,"{""typeCode"":""C"",""freqCode"":""A"",""refPeriodId"":20200101,""refYear"":2020,""refMonth"":52,""period"":""2020"",""reporterCode"":360,""reporterISO"":""IDN"",""reporterDesc"":""Indonesia"",""flowCode"":""X"",""flowDesc"":""Export"",""partnerCode"":100,""partnerISO"":""BGR"",""partnerDesc"":""Bulgaria"",""partner2Code"":0,""partner2ISO"":""W00"",""partner2Desc"":""World"",""classificationCode"":""H5"",""classificationSearchCode"":""HS"",""isOriginalClassification"":true,""cmdCode"":""090111"",""cmdDesc"":""Coffee; not roasted or decaffeinated"",""aggrLevel"":6,""isLeaf"":true,""customsCode"":""C00"",""customsDesc"":""TOTAL CPC"",""mosCode"":""0"",""motCode"":0,""motDesc"":""TOTAL MOT"",""qtyUnitCode"":8,""qtyUnitAbbr"":""kg"",""qty"":919200,""isQtyEstimated"":false,""altQtyUnitCode"":8,""altQtyUnitAbbr"":""kg"",""altQty"":919200,""isAltQtyEstimated"":false,""netWgt"":919200,""isNetWgtEstimated"":false,""grossWgt"":0,""isGrossWgtEstimated"":false,""cifvalue"":0,""fobvalue"":1529224.6,""primaryValue"":1529224.6,""legacyEstimationFlag"":0,""isReported"":true,""isAggregate"":false}"
,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=360&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T18:34:22.015Z,"{""reporters"":[{""endpoint"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS"",""reporterCode"":704,""reporterISO"":""VNM"",""flowCode"":""X"",""cmdCode"":""090111"",""period"":""2020,2021,2022,2023,2024,2025"",""includeDesc"":true},{""endpoint"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS"",""reporterCode"":76,""reporterISO"":""BRA"",""flowCode"":""X"",""cmdCode"":""090111"",""period"":""2020,2021,2022,2023,2024,2025"",""includeDesc"":true},{""endpoint"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS"",""reporterCode"":360,""reporterISO"":""IDN"",""flowCode"":""X"",""cmdCode"":""090111"",""period"":""2020,2021,2022,2023,2024,2025"",""includeDesc"":true}]}",C,A,20200101,2020,360,IDN,Indonesia,116,KHM,Cambodia,0,W00,World,X,Export,H5,090111,Coffee; not roasted or decaffeinated,C00,TOTAL CPC,0,TOTAL MOT,8,kg,14000,14000,0,75657.64,true,true,false,"{""typeCode"":""C"",""freqCode"":""A"",""refPeriodId"":20200101,""refYear"":2020,""refMonth"":52,""period"":""2020"",""reporterCode"":360,""reporterISO"":""IDN"",""reporterDesc"":""Indonesia"",""flowCode"":""X"",""flowDesc"":""Export"",""partnerCode"":116,""partnerISO"":""KHM"",""partnerDesc"":""Cambodia"",""partner2Code"":0,""partner2ISO"":""W00"",""partner2Desc"":""World"",""classificationCode"":""H5"",""classificationSearchCode"":""HS"",""isOriginalClassification"":true,""cmdCode"":""090111"",""cmdDesc"":""Coffee; not roasted or decaffeinated"",""aggrLevel"":6,""isLeaf"":true,""customsCode"":""C00"",""customsDesc"":""TOTAL CPC"",""mosCode"":""0"",""motCode"":0,""motDesc"":""TOTAL MOT"",""qtyUnitCode"":8,""qtyUnitAbbr"":""kg"",""qty"":14000,""isQtyEstimated"":false,""altQtyUnitCode"":8,""altQtyUnitAbbr"":""kg"",""altQty"":14000,""isAltQtyEstimated"":false,""netWgt"":14000,""isNetWgtEstimated"":false,""grossWgt"":0,""isGrossWgtEstimated"":false,""cifvalue"":0,""fobvalue"":75657.64,""primaryValue"":75657.64,""legacyEstimationFlag"":0,""isReported"":true,""isAggregate"":false}"
,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=360&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T18:34:22.015Z,"{""reporters"":[{""endpoint"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS"",""reporterCode"":704,""reporterISO"":""VNM"",""flowCode"":""X"",""cmdCode"":""090111"",""period"":""2020,2021,2022,2023,2024,2025"",""includeDesc"":true},{""endpoint"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS"",""reporterCode"":76,""reporterISO"":""BRA"",""flowCode"":""X"",""cmdCode"":""090111"",""period"":""2020,2021,2022,2023,2024,2025"",""includeDesc"":true},{""endpoint"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS"",""reporterCode"":360,""reporterISO"":""IDN"",""flowCode"":""X"",""cmdCode"":""090111"",""period"":""2020,2021,2022,2023,2024,2025"",""includeDesc"":true}]}",C,A,20200101,2020,360,IDN,Indonesia,124,CAN,Canada,0,W00,World,X,Export,H5,090111,Coffee; not roasted or decaffeinated,C00,TOTAL CPC,0,TOTAL MOT,8,kg,3917420.5,3917420.5,0,19493350.62,true,true,false,"{""typeCode"":""C"",""freqCode"":""A"",""refPeriodId"":20200101,""refYear"":2020,""refMonth"":52,""period"":""2020"",""reporterCode"":360,""reporterISO"":""IDN"",""reporterDesc"":""Indonesia"",""flowCode"":""X"",""flowDesc"":""Export"",""partnerCode"":124,""partnerISO"":""CAN"",""partnerDesc"":""Canada"",""partner2Code"":0,""partner2ISO"":""W00"",""partner2Desc"":""World"",""classificationCode"":""H5"",""classificationSearchCode"":""HS"",""isOriginalClassification"":true,""cmdCode"":""090111"",""cmdDesc"":""Coffee; not roasted or decaffeinated"",""aggrLevel"":6,""isLeaf"":true,""customsCode"":""C00"",""customsDesc"":""TOTAL CPC"",""mosCode"":""0"",""motCode"":0,""motDesc"":""TOTAL MOT"",""qtyUnitCode"":8,""qtyUnitAbbr"":""kg"",""qty"":3917420.5,""isQtyEstimated"":false,""altQtyUnitCode"":8,""altQtyUnitAbbr"":""kg"",""altQty"":3917420.5,""isAltQtyEstimated"":false,""netWgt"":3917420.5,""isNetWgtEstimated"":false,""grossWgt"":0,""isGrossWgtEstimated"":false,""cifvalue"":0,""fobvalue"":19493350.62,""primaryValue"":19493350.62,""legacyEstimationFlag"":0,""isReported"":true,""isAggregate"":false}"
,UN Comtrade,https://comtradeapi.un.org/public/v1/preview/C/A/HS?reporterCode=360&flowCode=X&cmdCode=090111&period=2020&includeDesc=true,2026-05-30T18:34:22.015Z,"{""reporters"":[{""endpoint"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS"",""reporterCode"":704,""reporterISO"":""VNM"",""flowCode"":""X"",""cmdCode"":""090111"",""period"":""2020,2021,2022,2023,2024,2025"",""includeDesc"":true},{""endpoint"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS"",""reporterCode"":76,""reporterISO"":""BRA"",""flowCode"":""X"",""cmdCode"":""090111"",""period"":""2020,2021,2022,2023,2024,2025"",""includeDesc"":true},{""endpoint"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS"",""reporterCode"":360,""reporterISO"":""IDN"",""flowCode"":""X"",""cmdCode"":""090111"",""period"":""2020,2021,2022,2023,2024,2025"",""includeDesc"":true}]}",C,A,20200101,2020,360,IDN,Indonesia,136,CYM,Cayman Isds,0,W00,World,X,Export,H5,090111,Coffee; not roasted or decaffeinated,C00,TOTAL CPC,0,TOTAL MOT,8,kg,2.3,2.3,0,160.4,true,true,false,"{""typeCode"":""C"",""freqCode"":""A"",""refPeriodId"":20200101,""refYear"":2020,""refMonth"":52,""period"":""2020"",""reporterCode"":360,""reporterISO"":""IDN"",""reporterDesc"":""Indonesia"",""flowCode"":""X"",""flowDesc"":""Export"",""partnerCode"":136,""partnerISO"":""CYM"",""partnerDesc"":""Cayman Isds"",""partner2Code"":0,""partner2ISO"":""W00"",""partner2Desc"":""World"",""classificationCode"":""H5"",""classificationSearchCode"":""HS"",""isOriginalClassification"":true,""cmdCode"":""090111"",""cmdDesc"":""Coffee; not roasted or decaffeinated"",""aggrLevel"":6,""isLeaf"":true,""customsCode"":""C00"",""customsDesc"":""TOTAL CPC"",""mosCode"":""0"",""motCode"":0,""motDesc"":""TOTAL MOT"",""qtyUnitCode"":8,""qtyUnitAbbr"":""kg"",""qty"":2.3,""isQtyEstimated"":false,""altQtyUnitCode"":8,""altQtyUnitAbbr"":""kg"",""altQty"":2.3,""isAltQtyEstimated"":false,""netWgt"":2.3,""isNetWgtEstimated"":false,""grossWgt"":0,""isGrossWgtEstimated"":false,""cifvalue"":0,""fobvalue"":160.4,""primaryValue"":160.4,""legacyEstimationFlag"":0,""isReported"":true,""isAggregate"":false}"
