commodity_group,commodity_name,product_form,hs2,hs4,hs6,hs8_vn,hs10_vn,country_scope,national_code,national_code_system,partner_market_group,hs_description_en,hs_description_vi,analysis_bucket,include_in_mvp,data_priority,standard_unit,conversion_to_ton,source_name,source_url,source_type,source_checked_at,hs_version,valid_from,valid_to,confidence_score,notes
coffee,Coffee,Not roasted not decaffeinated,09,0901,090111,,,INT,,,,Coffee; not roasted or decaffeinated,Ca phe chua rang chua khu caffeine,coffee_raw_core,TRUE,P0,ton,1,UNSD Classification Detail,https://unstats.un.org/unsd/classifications/Econ/Detail/EN/32/090111,official_un,2026-05-26T00:00:00Z,HS2017/HS2022,2022-01-01,,0.95,Core coffee benchmark at HS6 level
coffee,Coffee,Not roasted not decaffeinated Arabica,09,0901,090111,09011120,,VNM,0901.11.20,AHTN_VN,,Coffee; not roasted or decaffeinated (Arabica),Ca phe chua rang chua khu caffeine Arabica,coffee_raw_core,TRUE,P1,ton,1,Vietnam tariff schedule (Decree 118/2022/ND-CP),https://files.customs.gov.vn/CustomsCMS/DONG_NAI/2023/1/10/118_2022_ND_CP_30_12_2022.pdf,official_vn,2026-05-26T00:00:00Z,AHTN2022,2023-01-01,,0.93,Mapped from Vietnam national 8-digit code to HS6
coffee,Coffee,Not roasted not decaffeinated Robusta,09,0901,090111,09011130,,VNM,0901.11.30,AHTN_VN,,Coffee; not roasted or decaffeinated (Robusta),Ca phe chua rang chua khu caffeine Robusta,coffee_raw_core,TRUE,P0,ton,1,Vietnam tariff schedule (Decree 118/2022/ND-CP),https://files.customs.gov.vn/CustomsCMS/DONG_NAI/2023/1/10/118_2022_ND_CP_30_12_2022.pdf,official_vn,2026-05-26T00:00:00Z,AHTN2022,2023-01-01,,0.95,Robusta-specific Vietnam code
coffee,Coffee,Not roasted not decaffeinated other,09,0901,090111,09011190,,VNM,0901.11.90,AHTN_VN,,Coffee; not roasted or decaffeinated (other),Ca phe chua rang chua khu caffeine loai khac,coffee_raw_core,TRUE,P1,ton,1,Vietnam tariff schedule (Decree 118/2022/ND-CP),https://files.customs.gov.vn/CustomsCMS/DONG_NAI/2023/1/10/118_2022_ND_CP_30_12_2022.pdf,official_vn,2026-05-26T00:00:00Z,AHTN2022,2023-01-01,,0.90,Other subgroup in Vietnam schedule
coffee,Coffee,Not roasted decaffeinated,09,0901,090112,,,INT,,,,Coffee; decaffeinated not roasted,Ca phe chua rang da khu caffeine,coffee_decaf_raw,FALSE,P2,ton,1,UNSD Classification Detail,https://unstats.un.org/unsd/classifications/Econ/Detail/EN/32/090112,official_un,2026-05-26T00:00:00Z,HS2017/HS2022,2022-01-01,,0.90,Out of MVP scope
coffee,Coffee,Roasted not decaffeinated,09,0901,090121,,,INT,,,,Coffee; roasted not decaffeinated,Ca phe rang chua khu caffeine,coffee_roasted,FALSE,P2,ton,1,UNSD Classification Detail,https://unstats.un.org/unsd/classifications/Econ/Detail/EN/32/090121,official_un,2026-05-26T00:00:00Z,HS2017/HS2022,2022-01-01,,0.90,Do not aggregate with green coffee
coffee,Coffee,Roasted decaffeinated,09,0901,090122,,,INT,,,,Coffee; roasted decaffeinated,Ca phe rang da khu caffeine,coffee_roasted_decaf,FALSE,P2,ton,1,UNSD Classification Detail,https://unstats.un.org/unsd/classifications/Econ/Detail/EN/32/090122,official_un,2026-05-26T00:00:00Z,HS2017/HS2022,2022-01-01,,0.88,Out of MVP scope
coffee,Coffee,Coffee husks skins substitutes,09,0901,090190,,,INT,,,,Coffee; husks and skins coffee substitutes containing coffee,Ca phe vo va chat thay the chua cafe,coffee_byproduct,FALSE,P2,ton,1,UNSD Classification Detail,https://unstats.un.org/unsd/classifications/Econ/Detail/EN/32/090190,official_un,2026-05-26T00:00:00Z,HS2017/HS2022,2022-01-01,,0.86,Keep separate from raw and instant coffee
coffee,Coffee,Coffee extracts instant,21,2101,210111,,,INT,,,,Extracts essences and concentrates of coffee and preparations based on coffee,Chiet xuat tinh chat co dac tu cafe,coffee_instant,TRUE,P1,ton,1,UNSD Classification Detail,https://unstats.un.org/unsd/classifications/Econ/Detail/EN/32/210111,official_un,2026-05-26T00:00:00Z,HS2017/HS2022,2022-01-01,,0.92,Processed coffee do not aggregate with green coffee
coffee,Coffee,Partner mapping United States,09,0901,090111,,,USA,0901.11.00,HTSUS,US,Coffee not roasted not decaffeinated,Ma doi tac My cho cafe xanh khong khu caffeine,coffee_raw_core,TRUE,P1,ton,1,USITC Harmonized Tariff Schedule,https://hts.usitc.gov/search?query=coffee,official_partner,2026-05-26T00:00:00Z,HTSUS2026,2026-01-01,,0.85,Partner mapping for U.S. tariff line
